candidate_id,state,unit_id,domain,knowledge_target_id,family,question,choice1,choice2,choice3,choice4,proposed_correct,explanation,source_id,source_version,source_locator,answer_defining_proposition,tested_misconception,reasoning_path,collision_note,permanent_question_id
O4-B15-FIR-C001,AI_PRE_ACCEPT,otsu4_fire,性質・消火,O4-FIR-KT-FLASH-IGNITION,gasoline autoignition,ガソリンのモデルSDS Section 9に示される自然発火温度はおよそどれか。,約300℃,約30℃,約600℃,約900℃,A,ガソリンのモデルSDS Section 9では自然発火温度は約300℃とされている。,O4-MHLW-SDS-GASOLINE,2006-05-13,Section 9「物理的及び化学的性質」自然発火温度,ガソリンの自然発火温度は約300℃である。,引火点と自然発火温度は同じ値である。,read one SDS autoignition field -> select ~300C,W4 B15; avoids existing exact flash-point recall.,
O4-B15-FIR-C002,AI_PRE_ACCEPT,otsu4_fire,性質・消火,O4-FIR-KT-FLASH-IGNITION,gasoline lower explosion limit,ガソリン蒸気のモデルSDS上の爆発範囲の下限はどれか。,0.13vol%,1.3vol%,13vol%,30vol%,B,ガソリンのモデルSDS Section 9では爆発範囲の下限は1.3vol%である。,O4-MHLW-SDS-GASOLINE,2006-05-13,Section 9「物理的及び化学的性質」爆発範囲,ガソリン蒸気の爆発範囲下限は1.3vol%である。,爆発範囲は濃度に下限を持たない。,read lower bound -> select 1.3vol%,W4 B15; zero-coverage explosion-range target.,
O4-B15-FIR-C003,AI_PRE_ACCEPT,otsu4_fire,性質・消火,O4-FIR-KT-FLASH-IGNITION,gasoline upper explosion limit,ガソリン蒸気のモデルSDS上の爆発範囲の上限はどれか。,1.3vol%,3.0vol%,6.0vol%,60vol%,C,ガソリンのモデルSDS Section 9では爆発範囲の上限は6.0vol%である。,O4-MHLW-SDS-GASOLINE,2006-05-13,Section 9「物理的及び化学的性質」爆発範囲,ガソリン蒸気の爆発範囲上限は6.0vol%である。,ガソリンの爆発上限は下限と同じ1.3vol%である。,read upper bound -> select 6.0vol%,W4 B15; paired boundary with C002.,
O4-B15-FIR-C004,AI_PRE_ACCEPT,otsu4_fire,性質・消火,O4-FIR-KT-FLASH-IGNITION,gasoline within explosion range,空気中のガソリン蒸気濃度が3.0vol%である。モデルSDSの爆発範囲1.3〜6.0vol%との関係として正しいものはどれか。,下限未満,上限超過,範囲と無関係,爆発範囲内,D,3.0vol%は下限1.3vol%と上限6.0vol%の間にあるため、SDS記載の爆発範囲内である。,O4-MHLW-SDS-GASOLINE,2006-05-13,Section 9「物理的及び化学的性質」爆発範囲,3.0vol%のガソリン蒸気はSDS記載の1.3〜6.0vol%の爆発範囲内にある。,爆発範囲は上下限の値を覚えるだけで濃度判定には使えない。,compare given concentration to same-source lower/upper bounds,W4 B15; decision application beyond boundary recall.,
O4-B15-FIR-C005,AI_PRE_ACCEPT,otsu4_fire,性質・消火,O4-FIR-KT-FLASH-IGNITION,ethanol autoignition,エタノールのモデルSDS Section 9に示される自然発火温度はどれか。,363℃,36.3℃,63℃,630℃,A,エタノールのモデルSDS Section 9では自然発火温度は363℃である。,O4-MHLW-SDS-ETHANOL,2014-03-31,Section 9「物理的及び化学的性質」自然発火温度,エタノールの自然発火温度は363℃である。,エタノールの自然発火温度は引火点13℃と同じである。,read one SDS autoignition field -> select 363C,W4 B15; new ignition property.,
O4-B15-FIR-C006,AI_PRE_ACCEPT,otsu4_fire,性質・消火,O4-FIR-KT-FLASH-IGNITION,ethanol lower explosion limit,エタノール蒸気のモデルSDS上の爆発範囲の下限はどれか。,0.33%,3.3%,13%,33%,B,エタノールのモデルSDS Section 9では燃焼又は爆発範囲の下限は3.3%である。,O4-MHLW-SDS-ETHANOL,2014-03-31,Section 9「物理的及び化学的性質」燃焼又は爆発範囲,エタノール蒸気の爆発範囲下限は3.3%である。,エタノールの爆発範囲は下限を持たない。,read lower bound -> select 3.3%,W4 B15; distinct substance-specific explosion boundary.,
O4-B15-FIR-C007,AI_PRE_ACCEPT,otsu4_fire,性質・消火,O4-FIR-KT-FLASH-IGNITION,ethanol upper explosion limit,エタノール蒸気のモデルSDS上の爆発範囲の上限はどれか。,3.3%,9%,19%,36.5%,C,エタノールのモデルSDS Section 9では燃焼又は爆発範囲の上限は19%である。,O4-MHLW-SDS-ETHANOL,2014-03-31,Section 9「物理的及び化学的性質」燃焼又は爆発範囲,エタノール蒸気の爆発範囲上限は19%である。,エタノールの上限は下限と同じ3.3%である。,read upper bound -> select 19%,W4 B15; paired boundary with C006.,
O4-B15-FIR-C008,AI_PRE_ACCEPT,otsu4_fire,性質・消火,O4-FIR-KT-FLASH-IGNITION,ethanol within explosion range,空気中のエタノール蒸気濃度が10%である。モデルSDSの爆発範囲3.3〜19%との関係はどれか。,下限未満,上限超過,濃度判定できない,爆発範囲内,D,10%は3.3%と19%の間にあるため、SDS記載の爆発範囲内である。,O4-MHLW-SDS-ETHANOL,2014-03-31,Section 9「物理的及び化学的性質」燃焼又は爆発範囲,10%のエタノール蒸気はSDS記載の爆発範囲内である。,爆発範囲の上下限から中間濃度を判定できない。,compare 10% to same-source range,W4 B15; applied range decision.,
O4-B15-FIR-C009,AI_PRE_ACCEPT,otsu4_fire,性質・消火,O4-FIR-KT-FLASH-IGNITION,methanol autoignition,メタノールのモデルSDS Section 9に示される自然発火温度はどれか。,464℃,46.4℃,164℃,764℃,A,メタノールのモデルSDS Section 9では自然発火温度は464℃である。,O4-MHLW-SDS-METHANOL,2010-03-31,Section 9「物理的及び化学的性質」自然発火温度,メタノールの自然発火温度は464℃である。,メタノールは引火点12℃で自然発火する。,read one SDS autoignition field -> select 464C,W4 B15; new ignition property.,
O4-B15-FIR-C010,AI_PRE_ACCEPT,otsu4_fire,性質・消火,O4-FIR-KT-FLASH-IGNITION,methanol lower explosion limit,メタノール蒸気のモデルSDS上の爆発範囲の下限はどれか。,0.6vol%,6.0vol%,16vol%,36.5vol%,B,メタノールのモデルSDS Section 9では爆発範囲の下限は6.0vol%である。,O4-MHLW-SDS-METHANOL,2010-03-31,Section 9「物理的及び化学的性質」爆発範囲,メタノール蒸気の爆発範囲下限は6.0vol%である。,メタノールの爆発範囲は0vol%から始まる。,read lower bound -> select 6.0vol%,W4 B15; distinct substance-specific boundary.,
O4-B15-FIR-C011,AI_PRE_ACCEPT,otsu4_fire,性質・消火,O4-FIR-KT-FLASH-IGNITION,methanol upper explosion limit,メタノール蒸気のモデルSDS上の爆発範囲の上限はどれか。,6.0vol%,19vol%,36.5vol%,65vol%,C,メタノールのモデルSDS Section 9では爆発範囲の上限は36.5vol%である。,O4-MHLW-SDS-METHANOL,2010-03-31,Section 9「物理的及び化学的性質」爆発範囲,メタノール蒸気の爆発範囲上限は36.5vol%である。,メタノールの爆発上限は6.0vol%である。,read upper bound -> select 36.5vol%,W4 B15; paired boundary with C010.,
O4-B15-FIR-C012,AI_PRE_ACCEPT,otsu4_fire,性質・消火,O4-FIR-KT-FLASH-IGNITION,methanol within explosion range,空気中のメタノール蒸気濃度が20vol%である。モデルSDSの爆発範囲6.0〜36.5vol%との関係はどれか。,下限未満,上限超過,範囲外,爆発範囲内,D,20vol%は6.0vol%と36.5vol%の間にあるため、SDS記載の爆発範囲内である。,O4-MHLW-SDS-METHANOL,2010-03-31,Section 9「物理的及び化学的性質」爆発範囲,20vol%のメタノール蒸気はSDS記載の爆発範囲内である。,高い濃度なら上限を確認せず常に範囲外と判断する。,compare 20vol% to same-source range,W4 B15; applied range decision.,
O4-B15-FIR-C013,AI_PRE_ACCEPT,otsu4_fire,性質・消火,O4-FIR-KT-FLASH-IGNITION,acetone autoignition,アセトンのモデルSDS Section 9に示される自然発火温度はどれか。,465℃,46.5℃,165℃,765℃,A,アセトンのモデルSDS Section 9では自然発火温度は465℃である。,O4-MHLW-SDS-ACETONE,2015-03-31,Section 9「物理的及び化学的性質」自然発火温度,アセトンの自然発火温度は465℃である。,アセトンは引火点-20℃で自然発火する。,read one SDS autoignition field -> select 465C,W4 B15; new ignition property.,
O4-B15-FIR-C014,AI_PRE_ACCEPT,otsu4_fire,性質・消火,O4-FIR-KT-FLASH-IGNITION,acetone lower explosion limit,アセトン蒸気のモデルSDS上の爆発範囲の下限はどれか。,0.22vol%,2.2vol%,12vol%,22vol%,B,アセトンのモデルSDS Section 9では燃焼又は爆発範囲の下限は2.2vol%である。,O4-MHLW-SDS-ACETONE,2015-03-31,Section 9「物理的及び化学的性質」燃焼又は爆発範囲,アセトン蒸気の爆発範囲下限は2.2vol%である。,アセトンの爆発範囲は下限を持たない。,read lower bound -> select 2.2vol%,W4 B15; distinct substance-specific boundary.,
O4-B15-FIR-C015,AI_PRE_ACCEPT,otsu4_fire,性質・消火,O4-FIR-KT-FLASH-IGNITION,acetone upper explosion limit,アセトン蒸気のモデルSDS上の爆発範囲の上限はどれか。,2.2vol%,6.0vol%,13vol%,36.5vol%,C,アセトンのモデルSDS Section 9では燃焼又は爆発範囲の上限は13vol%である。,O4-MHLW-SDS-ACETONE,2015-03-31,Section 9「物理的及び化学的性質」燃焼又は爆発範囲,アセトン蒸気の爆発範囲上限は13vol%である。,アセトンの爆発上限は2.2vol%である。,read upper bound -> select 13vol%,W4 B15; paired boundary with C014.,
O4-B15-FIR-C016,AI_PRE_ACCEPT,otsu4_fire,性質・消火,O4-FIR-KT-FLASH-IGNITION,acetone above explosion range,空気中のアセトン蒸気濃度が15vol%である。モデルSDSの爆発範囲2.2〜13vol%との関係はどれか。,下限未満,爆発範囲内,濃度判定できない,上限を超えている,D,15vol%は上限13vol%を超えているため、SDS記載の爆発範囲より高濃度側にある。,O4-MHLW-SDS-ACETONE,2015-03-31,Section 9「物理的及び化学的性質」燃焼又は爆発範囲,15vol%のアセトン蒸気はSDS記載の爆発上限13vol%を超える。,濃度が高いほど必ず爆発範囲内になる。,compare 15vol% to same-source upper bound,W4 B15; tests above-range decision rather than within-range variant.,
