candidate_id,state,unit_id,domain,knowledge_target_id,family,question,choice1,choice2,choice3,choice4,choice5,proposed_correct,explanation,source_id,source_version,source_locator,answer_defining_proposition,tested_misconception,reasoning_path,collision_note,permanent_question_id
E1-B1-LH-C001,AI_PRE_ACCEPT,eisei1_law_hazardous,関係法令（有害業務）,E1-LH-001,appointment_timing,衛生管理者を選任すべき事由が発生した事業者が行う選任の時期として正しいものはどれか。,事由発生の日から14日以内,事由発生の日から30日以内,最初の衛生委員会まで,年度末まで,次の定期健康診断まで,A,衛生管理者を選任すべき事由が発生した日から14日以内に選任しなければならない。,E1-LAW-ASR,current-as-of-2026-08-26,労働安全衛生規則 第7条第1項第1号,衛生管理者は選任事由発生の日から14日以内に選任する。,選任期限は30日又は年度単位である。,appointment event -> apply explicit 14-day deadline,B1 global collision check: no Eisei1 canonical rows; distinct from qualification and patrol candidates,
E1-B1-LH-C002,AI_PRE_ACCEPT,eisei1_law_hazardous,関係法令（有害業務）,E1-LH-001,industry_qualification,製造業の事業場で衛生管理者として選任できる者の組合せとして正しいものはどれか。,第一種衛生管理者免許又は衛生工学衛生管理者免許を有する者,第二種衛生管理者免許を有する者だけ,衛生推進者の養成講習を修了した者だけ,事業場の安全担当者であれば免許を問わない,労働者の互選で選ばれた者だけ,A,製造業は規則第7条第1項第3号イの業種であり第一種衛生管理者免許又は衛生工学衛生管理者免許を有する者等から選任する。,E1-LAW-ASR,current-as-of-2026-08-26,労働安全衛生規則 第7条第1項第3号イ,製造業では第一種衛生管理者免許又は衛生工学衛生管理者免許を有する者等から衛生管理者を選任する。,第二種衛生管理者免許だけで製造業の衛生管理者になれる。,identify industry class -> match statutory qualification category,B1 global collision check: industry qualification is distinct from appointment deadline and patrol,
E1-B1-LH-C003,AI_PRE_ACCEPT,eisei1_law_hazardous,関係法令（有害業務）,E1-LH-001,patrol_frequency,衛生管理者の定期巡視について正しいものはどれか。,少なくとも毎週1回作業場等を巡視する,少なくとも毎月1回だけ巡視する,定期健康診断の実施月だけ巡視する,災害発生後だけ巡視する,巡視の頻度は衛生管理者が自由に決める,A,衛生管理者は少なくとも毎週1回作業場等を巡視し有害のおそれがあるときは直ちに必要な措置を講じなければならない。,E1-LAW-ASR,current-as-of-2026-08-26,労働安全衛生規則 第11条,衛生管理者は少なくとも毎週1回作業場等を巡視する。,巡視は毎月1回で足りる。,identify regulated role -> apply weekly minimum frequency,B1 global collision check: frequency proposition distinct from appointment and qualification,
E1-B1-LH-C004,AI_PRE_ACCEPT,eisei1_law_hazardous,関係法令（有害業務）,E1-LH-003,special_health_exam,有害な業務で政令で定めるものに従事する労働者に対する健康診断として正しいものはどれか。,医師による特別の項目についての健康診断を行う,本人が希望した場合だけ健康診断を行う,一般健康診断を省略してよい,雇入れ時だけ健康診断を行う,事業者ではなく労働者だけが実施責任を負う,A,有害な業務で政令で定めるものに従事する労働者には医師による特別の項目についての健康診断を行わなければならない。,E1-LAW-ASL,current-as-of-2026-08-26,労働安全衛生法 第66条第2項,政令で定める有害業務従事者には特別の項目についての健康診断を行う。,有害業務では一般健康診断も特別健康診断も不要になる。,identify covered hazardous work -> apply special-item medical examination duty,B1 global collision check: medical-exam duty distinct from work-environment measurement and result actions,
E1-B1-LH-C005,AI_PRE_ACCEPT,eisei1_law_hazardous,関係法令（有害業務）,E1-LH-002,measurement_record,有害な業務を行う屋内作業場など政令で定める作業場について事業者が行うべきこととして正しいものはどれか。,必要な作業環境測定を行い結果を記録する,測定は労働者が希望したときだけ行う,測定結果は記録しなくてよい,測定の代わりに口頭確認だけを行う,作業場外でだけ測定を行う,A,政令で定める作業場では必要な作業環境測定を行いその結果を記録しておかなければならない。,E1-LAW-ASL,current-as-of-2026-08-26,労働安全衛生法 第65条第1項,指定された作業場では必要な作業環境測定を行い結果を記録する。,測定だけで記録は不要である。,identify designated workplace -> measurement plus record obligation,B1 global collision check: measurement duty distinct from result-evaluation measures,
E1-B1-HH-C001,AI_PRE_ACCEPT,eisei1_hygiene_hazardous,労働衛生（有害業務）,E1-HH-001,health_hazard_categories,労働安全衛生法第22条が健康障害防止措置の対象として挙げるものはどれか。,粉じんによる健康障害,事業場の売上減少,顧客からの苦情,製品の市場占有率低下,事業場の広告費増加,A,事業者は粉じんなどによる健康障害を防止するため必要な措置を講じなければならない。,E1-LAW-ASL,current-as-of-2026-08-26,労働安全衛生法 第22条第1号,粉じんは健康障害防止措置の対象となる有害因子として列挙されている。,粉じんは安全ではなく健康障害の規制対象外である。,classify stated hazard -> distinguish health hazard from business metric,B1 global collision check: hazard category distinct from measurement and health-exam duties,
E1-B1-HH-C002,AI_PRE_ACCEPT,eisei1_hygiene_hazardous,労働衛生（有害業務）,E1-HH-002,physical_hazard_categories,労働安全衛生法第22条が健康障害防止措置の対象として挙げる物理的因子の組合せとして正しいものはどれか。,騒音と振動,為替と金利,広告と販売促進,棚卸と在庫,契約と請求,A,事業者は騒音や振動などによる健康障害を防止するため必要な措置を講じなければならない。,E1-LAW-ASL,current-as-of-2026-08-26,労働安全衛生法 第22条第2号,騒音及び振動は健康障害防止措置の対象となる物理的因子として列挙されている。,騒音と振動は事業上の管理対象であり健康障害防止措置の対象ではない。,classify stated physical hazards -> select statutory pair,B1 global collision check: physical hazard category distinct from dust category,
E1-B1-HH-C003,AI_PRE_ACCEPT,eisei1_hygiene_hazardous,労働衛生（有害業務）,E1-HH-003,workplace_conditions,労働者を就業させる作業場について事業者が講ずべき措置として正しいものはどれか。,換気や採光及び照明に必要な措置,売上目標の設定だけ,広告媒体の選定だけ,顧客満足度調査だけ,仕入価格の交渉だけ,A,事業者は作業場について換気採光照明など労働者の健康等の保持に必要な措置を講じなければならない。,E1-LAW-ASL,current-as-of-2026-08-26,労働安全衛生法 第23条,作業場では換気採光照明など健康等の保持に必要な措置を講ずる。,換気や照明は労働者の健康保持と無関係である。,identify workplace condition -> choose statutory health-preservation measure,B1 global collision check: workplace condition duty distinct from hazardous-factor categories,
E1-B1-HH-C004,AI_PRE_ACCEPT,eisei1_hygiene_hazardous,労働衛生（有害業務）,E1-HH-003,result_based_measures,作業環境測定の結果を評価した結果労働者の健康を保持するため必要があると認められるときの措置として正しいものはどれか。,施設又は設備の設置又は整備や健康診断の実施,測定結果を破棄する,健康診断を一律に中止する,作業環境評価を行わない,労働者への説明を禁止する,A,測定結果の評価に基づき必要があると認められるときは施設又は設備の整備や健康診断の実施その他の適切な措置を講じなければならない。,E1-LAW-ASL,current-as-of-2026-08-26,労働安全衛生法 第65条の2第1項,作業環境測定結果の評価に基づき必要があれば設備整備や健康診断等の適切な措置を講ずる。,測定結果の評価後は何の措置も不要である。,measurement evaluation -> determine required responsive measures,B1 global collision check: response measure distinct from measurement-and-record duty,
E1-B1-HH-C005,AI_PRE_ACCEPT,eisei1_hygiene_hazardous,労働衛生（有害業務）,E1-HH-003,measurement_standard,労働安全衛生法第65条に基づく作業環境測定は何に従って行うものとされているか。,厚生労働大臣の定める作業環境測定基準,事業場が任意に作った広告基準,各労働者の希望だけ,取引先の営業方針だけ,前年度の売上計画だけ,A,法第65条第2項により同条第1項の作業環境測定は厚生労働大臣の定める作業環境測定基準に従って行う。,E1-LAW-ASL,current-as-of-2026-08-26,労働安全衛生法 第65条第2項,作業環境測定は厚生労働大臣の定める作業環境測定基準に従う。,作業環境測定の基準は各事業場が自由に決められる。,identify measurement rule -> apply prescribed measurement standard,B1 global collision check: measurement-standard proposition distinct from measurement-record and response-measure candidates,
