candidate_id,state,unit_id,domain,knowledge_target_id,family,question,choice1,choice2,choice3,choice4,proposed_correct,explanation,source_id,source_version,source_locator,answer_defining_proposition,tested_misconception,reasoning_path,collision_note,permanent_question_id
B6-OPS-C001,RELEASED,drone_operations,Operations,B6-OPS-KT01,criminal liability after accident,無人航空機の墜落事故で第三者が負傷した。操縦者に生じ得る法的責任について、教則に最も合うものはどれか。,無人航空機事故では行政処分の対象となることはあっても、刑事責任を負うことはない,事故の内容によっては、業務上過失致死傷などの刑事責任を負う場合がある,刑事責任が生じるのは故意に墜落させた場合だけである,,B,教則は、衝突や墜落により死傷者が発生した場合、事故の内容によって業務上過失致死傷などの刑事責任を負う場合があるとしている。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第2章 2.1.8(1)「刑事責任」（教則表示ページ3 / PDF viewer 9）,衝突・墜落で死傷者が発生した場合、事故内容により業務上過失致死傷等の刑事責任を負う場合がある。,無人航空機事故は行政上の問題に限られ、刑事責任は生じない。,accident consequence -> death/injury -> criminal-liability branch,Tier A。Q052/Q087は事故直後の措置・報告を問う。事故後に操縦者が負い得る刑事責任の分類は未出。,DRONE-Q-000197
B6-OPS-C002,RELEASED,drone_operations,Operations,B6-OPS-KT02,civil liability after accident,無人航空機の飛行により第三者の物件を損傷させた。操縦者が被害者に対して負うことがある責任として、教則に最も合うものはどれか。,民法に基づく損害賠償責任,事故を国土交通大臣へ報告すれば、被害者に対する民事責任は生じない,保険に加入していれば、損害賠償責任は操縦者ではなく保険会社だけが負う,,A,教則は、操縦者が被害者に対して民法に基づく損害賠償責任を負う場合があるとしている。保険の加入や補償範囲と、民事上の責任そのものは別の論点である。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第2章 2.1.8(2)「民事責任」（教則表示ページ3 / PDF viewer 9）,操縦者は被害者に対して民法に基づく損害賠償責任を負う場合がある。,保険加入の有無が民事上の損害賠償責任そのものを決める。,harm to victim -> civil-law branch -> damages liability,Tier A。Q176/Q177は保険の補償対象を問うが、被害者に対する民法上の損害賠償責任そのものは未出。,DRONE-Q-000198
B6-OPS-C003,RELEASED,drone_operations,Operations,B6-OPS-KT03,administrative sanctions,技能証明を受けた操縦者に航空法違反や重大な過失があった。教則が行政処分等の例として示すものの組合せはどれか。,技能証明の効力の取消・停止、文書警告、口頭注意,技能証明の効力の停止・文書警告・口頭注意はあるが、効力の取消は対象にならない,技能証明の効力の取消・停止はあるが、文書警告・口頭注意は行政処分等には含まれない,,A,教則は、航空法違反、非行又は重大な過失があった場合の行政処分等として、技能証明の効力の取消、効力の停止、文書警告、口頭注意を示している。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第2章 2.1.8(3)「行政処分等」（教則表示ページ3 / PDF viewer 9）,航空法違反、非行又は重大な過失がある場合、技能証明取消・停止、文書警告、口頭注意等の行政処分等の対象となり得る。,技能証明に対する行政措置は更新拒否だけで、取消や停止はない。,violation/misconduct/gross negligence -> administrative branch -> available sanctions,Tier A。Q109は技能証明の更新手続を問う。違反等に対する行政処分の種類は未出。,DRONE-Q-000199
B6-OPS-C004,RELEASED,drone_operations,Operations,B6-OPS-KT04,third-party route separation,飛行経路を2案から選ぶ。案Aは第三者が歩道から容易に近づける場所を通り、案Bは第三者が近づきにくい場所を通る。その他の条件が同等なら、教則に最も合う選択はどれか。,飛行距離が同じなら第三者の近づきやすさは考慮しなくてよい,第三者が容易に近づくことのないような案Bを選ぶ,飛行開始時に第三者がいなければ案Aを選んでも安全上の差はない,,B,教則は、第三者や関係者が危険を感じる操縦を避け、第三者が容易に近付くことのないような飛行経路を選択するなど、常に安全を意識するよう求めている。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第2章 2.1.7「第三者及び関係者に対する操縦者の責任」（教則表示ページ3 / PDF viewer 9）,第三者が容易に近付くことのない飛行経路を選択するなど、第三者・関係者の安全を意識する。,第三者が現在飛行経路上にいなければ、第三者が近づきやすい経路でも問題ない。,route selection -> foreseeable third-party access -> preventive separation,Tier A。Q090は安全マージン、Q188は補助者の立入管理役割。第三者の接近可能性を理由に飛行経路自体を選ぶ判断は未出。,DRONE-Q-000200
B6-OPS-C005,RELEASED,drone_operations,Operations,B6-OPS-KT05,performance-aware flight planning,長距離飛行を計画している。空域と気象には問題がないが、使用機の航続性能が小さく、補助者も今回の運航経験が少ない。飛行計画として教則に最も合うものはどれか。,空域と気象が適合していれば当初の長距離計画を維持する,機体性能と操縦者・補助者の経験や能力を考慮し、無理のない計画に見直す,補助者の経験は考慮せず、操縦者の技能証明の有無だけで計画を決める,,B,教則は、無人航空機の性能、操縦者や補助者の経験や能力などを考慮して、無理のない飛行計画を立てるとしている。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第2章 2.2.1(1)①「飛行計画の作成」（教則表示ページ3 / PDF viewer 9）,機体性能と操縦者・補助者の経験や能力を考慮し、無理のない飛行計画を立てる。,空域・気象条件だけ適合すれば、機体性能や要員能力は飛行計画の制約にならない。,mission demand -> aircraft capability + crew capability -> feasible plan,Tier A。Q119-Q122は外部hazardや変化を問う。任務要求を機体性能・要員能力へ適合させる計画判断は未出。,DRONE-Q-000201
B6-OPS-C006,RELEASED,drone_operations,Operations,B6-OPS-KT06,safe hover/turn contingency,飛行計画で異常時の対策を決める。緊急着陸地点は設定済みだが、着陸判断に至る前に一時的に安全を確保する場所は検討していない。教則に沿う追加の備えとして最も適切なものはどれか。,安全にホバリングや旋回ができる場所も事前に設定する,緊急着陸地点があれば、その他の異常時の場所は検討しない,異常が発生した後に初めてホバリング場所を探す,,A,教則は、何かあった場合の対策として、緊急着陸地点だけでなく、安全にホバリング・旋回ができる場所の設定等を事前に考えておくとしている。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第2章 2.2.1(1)③「飛行計画の作成」（教則表示ページ4 / PDF viewer 10）,緊急着陸地点だけでなく、安全にホバリング・旋回できる場所等も含め、異常時の対策を事前設定する。,異常時対策は緊急着陸地点だけ決めれば十分である。,contingency planning -> not yet forced landing -> identify safe holding/maneuvering options,Tier B。parent=preflight contingency planning。distinct axes=decision boundary/response priority。Q044は緊急着陸地点確保、Q195は事象中の不時着優先。本問は着陸前のsafe holding/turning branchを問う。,DRONE-Q-000202
B6-OPS-C007,RELEASED,drone_operations,Operations,B6-OPS-KT07,terrain and obstacle survey,飛行予定地域の現地調査で、地形や障害物に関する確認を行う。教則に最も合うものはどれか。,標高（海抜高度）、障害物の位置、目標物等を確認する,離陸地点からの相対高度だけを確認し、標高（海抜高度）は確認しない,地図上に経路を設定できれば、障害物の位置や目標物は現地調査しない,,A,教則は、飛行予定地域や周辺施設の調査事項として、標高（海抜高度）、障害物の位置、目標物等を挙げている。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第2章 2.2.1(2)②「飛行予定地域や周辺施設の調査」（教則表示ページ4 / PDF viewer 10）,現地調査で標高（海抜高度）、障害物位置、目標物等を確認する。,経路を地図上で設定できれば、標高や障害物位置は現地調査の対象外である。,planned area -> vertical/geometric constraints -> survey altitude and obstacles,Tier A。Q120は特定経路hazard、Q185は自動飛行経路の現地障害物確認。本問は標高・障害物位置・目標物を含む一般現地調査セットを問う。,DRONE-Q-000203
B6-OPS-C008,RELEASED,drone_operations,Operations,B6-OPS-KT08,surface and manned-aircraft traffic survey,飛行予定地域を調査している。飛行開始前に確認する事項として教則に最も合うものはどれか。,地上の歩行者・自動車の通行や、有人航空機の飛行状況等,歩行者や自動車の通行は飛行後に記録すればよく、飛行前の調査対象にはしない,有人航空機の状況は飛行中だけ確認し、飛行前の地域調査では扱わない,,A,教則は、飛行予定地域や周辺施設の調査として、地上の歩行者・自動車の通行、有人航空機の飛行などの状況等を確認するよう示している。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第2章 2.2.1(2)④「飛行予定地域や周辺施設の調査」（教則表示ページ4 / PDF viewer 10）,飛行予定地域で地上の歩行者・自動車の通行、有人航空機の飛行状況等を事前調査する。,有人航空機や地上交通は飛行開始後に監視すればよく、事前調査は不要である。,preflight area survey -> dynamic traffic exposure -> determine feasibility/controls before launch,Tier B。parent=preflight area survey。distinct axes=decision boundary/flight phase。Q051は遭遇時回避、Q120は経路選択、Q170は飛行中監視。本問は飛行前調査phaseを問う。,DRONE-Q-000204
B6-OPS-C009,RELEASED,drone_operations,Operations,B6-OPS-KT09,latest weather information collection,飛行予定地点では現在雨も強風も見られない。飛行前の気象確認として教則に最も合うものはどれか。,現地が穏やかなら追加の気象情報は確認しない,最新の天気、風向、警報、注意報等の気象情報を収集する,飛行開始後に天候が変化した場合だけ警報や注意報を確認する,,B,教則は、飛行前に最新の気象情報として、天気、風向、警報、注意報等を収集するとしている。現地の見た目だけで判断するものではない。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第2章 2.2.3「気象情報の収集」（教則表示ページ4 / PDF viewer 10）,飛行前に最新の天気、風向、警報、注意報等の気象情報を収集する。,現地で雨や強風が見えなければ、警報・注意報等の最新情報は確認しなくてよい。,preflight -> current external weather information -> collect forecast/warnings before go/no-go,Tier A。Q096/Q122/Q193は気象判断・規制・飛行中悪化を問う。飛行前の最新情報収集セットそのものは未出。,DRONE-Q-000205
B6-OPS-C010,RELEASED,drone_operations,Operations,B6-OPS-KT10,poor physical condition impairment,操縦者は発熱と強い倦怠感があるが、短時間の飛行なので実施しようとしている。教則が示す体調不良の影響として最も適切なものはどれか。,注意力が散漫になり、判断力が低下するなど事故の原因となり得る,体調不良は操縦の快適性だけに影響し、判断力には影響しない,飛行時間が短ければ体調不良による安全上の影響はない,,A,教則は、体調が悪い場合には注意力が散漫になり、判断力が低下するなど事故の原因となるとしている。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第2章 2.2.7①「体調管理」（教則表示ページ4 / PDF viewer 10）,体調不良は注意力散漫・判断力低下を招き事故原因となり得る。,体調不良は操縦の快適性に影響するだけで、判断能力には影響しない。,poor condition -> cognitive impairment -> accident risk,Tier A。Q003は疲労、Q034はストレス、Q040はアルコール。一般的な体調不良による注意・判断力低下は未出。,DRONE-Q-000206
