candidate_id,state,unit_id,domain,knowledge_target_id,family,question,choice1,choice2,choice3,choice4,proposed_correct,explanation,source_id,source_version,source_locator,answer_defining_proposition,tested_misconception,reasoning_path,collision_note,permanent_question_id
O4-B10-LAW-C001,READY_FOR_ID,otsu4_law,法令,O4-LAW-KT-TRANSPORT,transport container material,危険物の運搬容器の材質として、政令上の技術基準に例示されているものはどれか。,鋼板,紙袋だけ,木綿布だけ,無加工の段ボールだけ,A,政令第28条第1号は、運搬容器の材質として鋼板、アルミニウム板、ブリキ板、ガラスその他総務省令で定めるものを挙げている。,O4-LAW-2,2026-08-25,危険物の規制に関する政令 第28条第1号,運搬容器の材質には鋼板など政令で認められた材料を用いる。,運搬容器は材質を問わない。,read Article 28 item 1 -> identify enumerated material,W3 B10; first transport-container material proposition; absent from canonical 161.,
O4-B10-LAW-C002,READY_FOR_ID,otsu4_law,法令,O4-LAW-KT-TRANSPORT,container structure delegation,運搬容器の構造と最大容積について、政令第28条はどのように定めているか。,市町村ごとに任意に決める,総務省令で定める,運送業者が自由に決める,容積上限は存在しない,B,政令第28条第2号は、運搬容器の構造及び最大容積を総務省令で定めるとしている。,O4-LAW-2,2026-08-25,危険物の規制に関する政令 第28条第2号,運搬容器の構造及び最大容積は総務省令で定められる。,政令は運搬容器の最大容積を無制限としている。,identify delegation rule -> choose ministerial ordinance,W3 B10; distinct delegation proposition.,
O4-B10-LAW-C003,READY_FOR_ID,otsu4_law,法令,O4-LAW-KT-TRANSPORT,containerized loading rule,危険物を車両等に積載するときの原則として、政令第29条第1号に合うものはどれか。,容器に入れず直接荷台へ積む,種類を問わず同一タンクへ混合する,所定の運搬容器に収納して積載する,開放容器だけを使用する,C,政令第29条第1号は、危険物を第28条の運搬容器に総務省令で定めるところにより収納して積載することを原則としている。,O4-LAW-2,2026-08-25,危険物の規制に関する政令 第29条第1号,危険物は原則として所定の運搬容器に収納して積載する。,危険物は容器なしで積載してよい。,read Article 29 item 1 -> apply default containerized-loading rule,W3 B10; distinct from storage/handling batches.,
O4-B10-LAW-C004,READY_FOR_ID,otsu4_law,法令,O4-LAW-KT-TRANSPORT,same-site transport exception,同一敷地内にある一つの製造所等から別の製造所等へ危険物を運搬する場合、政令第29条第1号ただし書の扱いとして正しいものはどれか。,必ず航空輸送しなければならない,必ず指定数量未満に分割する,容器規定は一切の例外なく適用される,所定の例外に該当し、同号本文の容器収納原則の適用除外となり得る,D,政令第29条第1号ハは、一の製造所等から同一敷地内の他の製造所等へ運搬するため積載する場合を、同号本文の例外としている。,O4-LAW-2,2026-08-25,危険物の規制に関する政令 第29条第1号ハ,同一敷地内の製造所等間の運搬は第29条第1号本文の例外となり得る。,同一敷地内でも容器収納原則に例外はない。,match facts to Article 29 item 1(c) exception,W3 B10; exception decision not present in canonical 161.,
O4-B10-LAW-C005,READY_FOR_ID,otsu4_law,法令,O4-LAW-KT-TRANSPORT,external marking,危険物を運搬するため積載する際、運搬容器の外部に表示する事項として政令第29条第2号が求めるものはどれか。,危険物の品名や数量等,運転者の趣味,車両の購入価格,目的地の天気予報,A,政令第29条第2号は、運搬容器の外部に危険物の品名、数量等を総務省令で定めるところにより表示して積載することを求めている。,O4-LAW-2,2026-08-25,危険物の規制に関する政令 第29条第2号,運搬容器の外部には危険物の品名・数量等を表示する。,危険物の内容表示は運搬時には不要である。,read marking requirement -> identify legally relevant information,W3 B10; transport marking proposition.,
O4-B10-LAW-C006,READY_FOR_ID,otsu4_law,法令,O4-LAW-KT-TRANSPORT,fall overturn breakage prevention,危険物の積載方法として政令第29条第3号に合うものはどれか。,積荷を意図的に動きやすくする,危険物や運搬容器が転落・落下・転倒・破損しないように積載する,収納口を下向きに固定する,容器を摩擦させて安定させる,B,政令第29条第3号は、危険物の転落や運搬容器の落下、転倒、破損を防ぐように積載することを求めている。,O4-LAW-2,2026-08-25,危険物の規制に関する政令 第29条第3号,危険物や運搬容器は転落・落下・転倒・破損しないよう積載する。,積荷の固定は運搬方法の基準と無関係である。,identify physical loading hazards -> choose prevention requirement,W3 B10; distinct securing proposition.,
O4-B10-LAW-C007,READY_FOR_ID,otsu4_law,法令,O4-LAW-KT-TRANSPORT,opening orientation,運搬容器を積載するとき、政令第29条第4号が求める収納口の向きはどれか。,下方,横向き,上方,方向は問わない,C,政令第29条第4号は、運搬容器の収納口を上方に向けて積載することを求めている。,O4-LAW-2,2026-08-25,危険物の規制に関する政令 第29条第4号,運搬容器は収納口を上方に向けて積載する。,収納口は漏えい防止のため下向きにする。,read orientation rule -> select upward opening,W3 B10; exact orientation boundary.,
O4-B10-LAW-C008,READY_FOR_ID,otsu4_law,法令,O4-LAW-KT-TRANSPORT,sun rain protection,政令第29条第5号が一部の危険物について求める積載時の措置として正しいものはどれか。,日光を集光して加熱する,雨水を積極的に浸透させる,容器を開放して蒸発させる,日光の直射や雨水の浸透を防ぐ被覆等を行う,D,政令第29条第5号は、総務省令で定める危険物について日光の直射又は雨水の浸透を防ぐため有効に被覆する等、性質に応じた措置を求めている。,O4-LAW-2,2026-08-25,危険物の規制に関する政令 第29条第5号,対象危険物は日光直射や雨水浸透を防ぐ被覆等の措置を行う。,危険物は日光や雨にさらすほど安全になる。,identify environmental exposure hazards -> choose protective covering,W3 B10; distinct environmental transport control.,
O4-B10-LAW-C009,READY_FOR_ID,otsu4_law,法令,O4-LAW-KT-TRANSPORT,mixed loading prohibition,政令第29条第6号の原則として、危険物の混載について正しいものはどれか。,総務省令で定めるところにより、類を異にする危険物や災害のおそれのある物品と混載しない,危険物なら類に関係なく必ず混載する,危険物と食品を常に同じ容器へ入れる,混載制限は存在しない,A,政令第29条第6号は、総務省令で定めるところにより、類を異にするその他の危険物又は災害を発生させるおそれのある物品と混載しないことを求めている。,O4-LAW-2,2026-08-25,危険物の規制に関する政令 第29条第6号,危険物は一定の異類危険物や災害のおそれのある物品と混載しない。,危険物の混載には一切制限がない。,read mixed-loading restriction -> identify prohibited combination principle,W3 B10; mixed-loading control absent from canonical 161.,
O4-B10-LAW-C010,READY_FOR_ID,otsu4_law,法令,O4-LAW-KT-TRANSPORT,stacking height,運搬容器を積み重ねる場合の高さについて、政令第29条第7号の考え方として正しいものはどれか。,高さは無制限,総務省令で定める高さ以下とする,必ず車両より高く積む,容器の材質だけで決まり法令上の上限はない,B,政令第29条第7号は、運搬容器を積み重ねる場合、総務省令で定める高さ以下で積載することを求めている。,O4-LAW-2,2026-08-25,危険物の規制に関する政令 第29条第7号,運搬容器の積み重ねは総務省令で定める高さ以下とする。,運搬容器の積み重ね高さに法令上の制約はない。,identify stacking rule -> select ministerial height ceiling,W3 B10; distinct stacking-height boundary.,
O4-B10-LAW-C011,READY_FOR_ID,otsu4_law,法令,O4-LAW-KT-TRANSPORT,friction movement control,危険物の運搬方法として政令第30条第1号が求めるものはどれか。,容器同士を激しく擦らせる,積荷を常に揺さぶる,危険物や運搬容器が著しく摩擦・動揺しないようにする,急停止を繰り返す,C,政令第30条第1号は、危険物又は危険物を収納した運搬容器が著しく摩擦又は動揺を起こさないように運搬することを求めている。,O4-LAW-2,2026-08-25,危険物の規制に関する政令 第30条第1号,運搬中は危険物や運搬容器の著しい摩擦・動揺を防ぐ。,運搬中の摩擦や動揺は危険物の保安と無関係である。,map transport motion hazard -> select friction/movement control,W3 B10; transport-motion proposition.,
