candidate_id,state,unit_id,domain,knowledge_target_id,family,question,choice1,choice2,choice3,choice4,proposed_correct,explanation,source_id,source_version,source_locator,answer_defining_proposition,tested_misconception,reasoning_path,collision_note,permanent_question_id
O4-B14-PHY-C001,AI_PRE_ACCEPT,otsu4_physics,物理・化学,O4-PHY-KT-CHEMICAL-CHANGE,acid base definition,文部科学省「化学基礎」の酸・塩基の扱いで、定義に用いる授受はどれか。,水素イオンの授受,中性子の授受,光子の授受だけ,熱だけ,A,化学基礎では、酸や塩基について水素イオンの授受による定義を扱うとしている。,O4-PHY-1,2023-06-07,理科編 化学基礎 printed p.93「酸・塩基と中和について」,酸・塩基は水素イオンの授受による定義で扱う。,酸と塩基は温度だけで定義される。,identify source-defined acid/base transfer -> H+ transfer,W4 B14; opens zero-coverage chemical-change target.,
O4-B14-PHY-C002,AI_PRE_ACCEPT,otsu4_physics,物理・化学,O4-PHY-KT-CHEMICAL-CHANGE,acid base strength ionization,酸や塩基の強弱について、文部科学省資料が扱う関係はどれか。,沸点だけとの関係,電離度の大小との関係,容器の大きさとの関係,指定数量との関係,B,化学基礎では、酸や塩基の強弱と電離度の大小との関係を扱うとしている。,O4-PHY-1,2023-06-07,理科編 化学基礎 printed p.93「酸・塩基と中和について」,酸・塩基の強弱は電離度の大小との関係で扱う。,酸・塩基の強弱は電離度と無関係である。,map strength concept -> degree of ionization,W4 B14; distinct acid-base proposition.,
O4-B14-PHY-C003,AI_PRE_ACCEPT,otsu4_physics,物理・化学,O4-PHY-KT-CHEMICAL-CHANGE,pH hydrogen ion,化学基礎でpHについて触れる関係として正しいものはどれか。,指定数量とpH,危険等級とpH,pHと水素イオン濃度や水の電離との関係,引火点とpH,C,文部科学省資料は、pHと水素イオン濃度や水の電離との関係にも触れるとしている。,O4-PHY-1,2023-06-07,理科編 化学基礎 printed p.93「酸・塩基と中和について」,pHは水素イオン濃度や水の電離との関係で扱う。,pHは水素イオン濃度と無関係である。,identify pH relationship -> hydrogen-ion concentration/water ionization,W4 B14; no canonical 205 pH proposition.,
O4-B14-PHY-C004,AI_PRE_ACCEPT,otsu4_physics,物理・化学,O4-PHY-KT-CHEMICAL-CHANGE,neutralization amount relation,中和反応で文部科学省資料が扱う量的関係はどれか。,容器重量と危険等級,引火点と沸点,蒸気密度と指定数量,酸・塩基の価数と物質量の関係,D,化学基礎では、中和反応について酸や塩基の価数と物質量との関係を扱うとしている。,O4-PHY-1,2023-06-07,理科編 化学基礎 printed p.93「酸・塩基と中和について」,中和反応では酸・塩基の価数と物質量の関係を扱う。,中和の量的関係は酸・塩基の価数と無関係である。,identify neutralization quantitative variables -> valence + amount,W4 B14; distinct from concentration calculations in Wave 2.,
O4-B14-PHY-C005,AI_PRE_ACCEPT,otsu4_physics,物理・化学,O4-PHY-KT-CHEMICAL-CHANGE,neutralization salt property,中和反応について、文部科学省資料が触れる関係として正しいものはどれか。,反応する酸・塩基の強弱と生成する塩の性質との関係,運搬容器と塩の色の関係,指定数量と塩の質量の関係,火気厳禁表示と塩の性質の関係,A,資料は、中和反応で反応する酸や塩基の強弱と生成する塩の性質との関係にも触れるとしている。,O4-PHY-1,2023-06-07,理科編 化学基礎 printed p.93「酸・塩基と中和について」,酸・塩基の強弱と生成する塩の性質の関係を扱う。,生成する塩の性質は反応する酸・塩基の強弱と無関係である。,connect reactant strength -> salt property,W4 B14; chemical-reaction outcome concept.,
O4-B14-PHY-C006,AI_PRE_ACCEPT,otsu4_physics,物理・化学,O4-PHY-KT-CHEMICAL-CHANGE,redox electron transfer,酸化還元反応について、文部科学省資料が理解させる中心的な考え方はどれか。,光の反射だけによる,電子の授受による,温度の上昇だけによる,物質量が変わらないことだけによる,B,化学基礎では、酸化還元反応が電子の授受によることを理解させるとしている。,O4-PHY-1,2023-06-07,理科編 化学基礎 printed p.93「酸化と還元について」,酸化還元反応は電子の授受による。,酸化還元は電子の授受とは無関係である。,identify defining transfer -> electron transfer,W4 B14; core zero-coverage redox proposition.,
O4-B14-PHY-C007,AI_PRE_ACCEPT,otsu4_physics,物理・化学,O4-PHY-KT-CHEMICAL-CHANGE,redox definition extension,酸化・還元の定義について、文部科学省資料が示す学習の広がりとして正しいものはどれか。,密度から指定数量へ広げる,温度から圧力へ広げる,酸素や水素の授受から電子の授受へ広げる,容器材質から危険等級へ広げる,C,資料は、酸化・還元の定義を酸素や水素の授受から電子の授受へと広げて扱うとしている。,O4-PHY-1,2023-06-07,理科編 化学基礎 printed p.93「酸化と還元について」,酸化・還元の定義は酸素・水素の授受から電子の授受へ広げて扱う。,酸化還元の定義は電子の授受へ拡張しない。,recognize conceptual extension -> O/H transfer to electron transfer,W4 B14; distinct from C006 direct definition.,
O4-B14-PHY-C008,AI_PRE_ACCEPT,otsu4_physics,物理・化学,O4-PHY-KT-CHEMICAL-CHANGE,simultaneous redox,酸化と還元の起こり方について、文部科学省資料の説明に合うものはどれか。,酸化だけが単独で起こる,還元だけが単独で起こる,両者は無関係である,酸化と還元は常に同時に起こる,D,資料は、酸化と還元が常に同時に起こることを扱うとしている。,O4-PHY-1,2023-06-07,理科編 化学基礎 printed p.93「酸化と還元について」,酸化と還元は常に同時に起こる。,酸化と還元は互いに独立して単独で起こる。,read simultaneity statement -> select coupled redox,W4 B14; high-value redox boundary.,
O4-B14-PHY-C009,AI_PRE_ACCEPT,otsu4_physics,物理・化学,O4-PHY-KT-CHEMICAL-CHANGE,oxidation number explanation,酸化還元反応を説明するため、文部科学省資料が用いるものはどれか。,原子やイオンの酸化数の増減,容器の最大容積,指定数量の倍数だけ,引火点だけ,A,資料は、酸化還元反応を反応に関与する原子やイオンの酸化数の増減により説明できることも扱うとしている。,O4-PHY-1,2023-06-07,理科編 化学基礎 printed p.93「酸化と還元について」,酸化還元反応は酸化数の増減により説明できる。,酸化数は酸化還元反応の説明に使わない。,identify explanatory variable -> oxidation-number change,W4 B14; distinct from electron-transfer definition.,
O4-B14-PHY-C010,AI_PRE_ACCEPT,otsu4_physics,物理・化学,O4-PHY-KT-CHEMICAL-CHANGE,representative redox reagents,文部科学省資料が代表的な酸化剤・還元剤の例として挙げる組合せはどれか。,水と食塩だけ,過マンガン酸カリウム・過酸化水素・ヨウ化カリウム,窒素とアルゴンだけ,砂とガラスだけ,B,資料は、代表的な酸化剤・還元剤として過マンガン酸カリウム、過酸化水素、ヨウ化カリウムなどを挙げている。,O4-PHY-1,2023-06-07,理科編 化学基礎 printed p.93-94「酸化と還元について」,代表的な酸化剤・還元剤の教材例に過マンガン酸カリウム・過酸化水素・ヨウ化カリウムが含まれる。,酸化剤・還元剤の例としてこれらを扱わない。,recall explicitly named reagent set,W4 B14; recognition proposition without inferring which role each reagent takes.,
O4-B14-PHY-C011,AI_PRE_ACCEPT,otsu4_physics,物理・化学,O4-PHY-KT-CHEMICAL-CHANGE,metal ionization tendency,酸化還元反応に関連して、文部科学省資料が触れる金属の性質はどれか。,密度だけ,融点だけ,金属のイオン化傾向,光沢だけ,C,資料は、酸化還元反応に関連して金属のイオン化傾向にも触れるとしている。,O4-PHY-1,2023-06-07,理科編 化学基礎 printed p.94「酸化と還元について」,酸化還元反応に関連して金属のイオン化傾向を扱う。,金属のイオン化傾向は酸化還元と無関係である。,identify related metal concept -> ionization tendency,W4 B14; source-direct relationship.,
O4-B14-PHY-C012,AI_PRE_ACCEPT,otsu4_physics,物理・化学,O4-PHY-KT-CHEMICAL-CHANGE,daniell cell redox,酸化還元反応に関連して、文部科学省資料が触れる電池はどれか。,乾電池だけ,燃料電池だけ,太陽電池だけ,ダニエル電池,D,資料は、酸化還元反応に関連してダニエル電池の反応にも触れるとしている。,O4-PHY-1,2023-06-07,理科編 化学基礎 printed p.94「酸化と還元について」,酸化還元反応に関連してダニエル電池の反応を扱う。,ダニエル電池は酸化還元反応と関係しない。,identify explicitly linked cell -> Daniell cell,W4 B14; source-direct boundary without unsupported cell details.,
