candidate_id,state,unit_id,domain,knowledge_target_id,family,question,choice1,choice2,choice3,choice4,proposed_correct,explanation,source_id,source_version,source_locator,answer_defining_proposition,tested_misconception,reasoning_path,collision_note,permanent_question_id
O4-B13-LAW-C001,AI_PRE_ACCEPT,otsu4_law,法令,O4-LAW-KT-TRANSPORT,rule container material,危険物の規制に関する規則第41条が運搬容器の材質として認めているものはどれか。,プラスチック,発泡スチロールだけ,無加工の新聞紙だけ,材質は一切問わない,A,規則第41条は、政令で定めるもののほか、金属板、紙、プラスチック、ファイバー板、ゴム類、合成繊維、麻、木又は陶磁器を運搬容器の材質としている。,O4-LAW-3,2026-08-25,危険物の規制に関する規則 第41条,運搬容器の材質にはプラスチックも含まれる。,運搬容器は金属以外では認められない。,read Article 41 material list -> identify permitted material,W4 B13; Rule-specific material detail beyond W3 Decree-level example.,
O4-B13-LAW-C002,AI_PRE_ACCEPT,otsu4_law,法令,O4-LAW-KT-TRANSPORT,rule container structure,規則第42条が運搬容器の構造に求める条件として正しいものはどれか。,容易に破損する構造,堅固で容易に破損せず、口から危険物が漏れるおそれがない構造,常に開放された構造,内容物が外から直接見える構造,B,規則第42条は、運搬容器が堅固で容易に破損するおそれがなく、かつ口から収納した危険物が漏れるおそれがない構造であることを求めている。,O4-LAW-3,2026-08-25,危険物の規制に関する規則 第42条,運搬容器は堅固で破損しにくく、口から危険物が漏れない構造とする。,運搬容器は漏れやすくても材質が適切ならよい。,read Article 42 structural conditions -> choose leak-resistant robust structure,W4 B13; materially more specific than W3 delegation question.,
O4-B13-LAW-C003,AI_PRE_ACCEPT,otsu4_law,法令,O4-LAW-KT-TRANSPORT,liquid container table,液体の危険物を収納する一般の運搬容器について、規則第43条第1項第1号が参照する基準はどれか。,別表第一,別表第二,別表第三の二,別表第五,C,規則第43条第1項第1号は、液体の危険物を収納する容器について別表第三の二の基準に適合することを求めている。,O4-LAW-3,2026-08-25,危険物の規制に関する規則 第43条第1項第1号,液体危険物の一般運搬容器は別表第三の二の基準に適合する。,液体危険物も固体と同じ別表第三だけを見る。,identify liquid branch -> map to Appendix 3-2,W4 B13; specific Rule table mapping absent from canonical 205.,
O4-B13-LAW-C004,AI_PRE_ACCEPT,otsu4_law,法令,O4-LAW-KT-TRANSPORT,solid container table,固体の危険物を収納する一般の運搬容器について、規則第43条第1項第1号が原則として参照する基準はどれか。,別表第三の二,別表第五,別表第六,別表第三,D,規則第43条第1項第1号は、固体の危険物を収納する容器について別表第三の基準に適合することを原則としている。,O4-LAW-3,2026-08-25,危険物の規制に関する規則 第43条第1項第1号,固体危険物の一般運搬容器は原則として別表第三の基準に適合する。,固体危険物は液体用の別表第三の二だけを見る。,identify solid branch -> map to Appendix 3,W4 B13; paired table boundary with C003.,
O4-B13-LAW-C005,AI_PRE_ACCEPT,otsu4_law,法令,O4-LAW-KT-TRANSPORT,seal against temperature leakage,規則第43条の3第1項第1号が危険物の収納で原則として求めるものはどれか。,常に容器のふたを開けておく,漏れを確認するため容器を横倒しにする,温度変化等で漏れないよう運搬容器を密封する,容器内へ外気を常時送る,C,規則第43条の3第1項第1号は、温度変化等により危険物が漏れないよう運搬容器を密封して収納することを原則としている。,O4-LAW-3,2026-08-25,危険物の規制に関する規則 第43条の3第1項第1号,危険物は温度変化等で漏れないよう運搬容器を密封して収納する。,運搬時は漏れを防ぐための密封は不要である。,read sealing rule -> identify leakage-prevention requirement,W4 B13; Rule-specific storage detail.,
O4-B13-LAW-C006,AI_PRE_ACCEPT,otsu4_law,法令,O4-LAW-KT-TRANSPORT,gas vent exception,温度変化等でガスが発生し容器内圧が上昇するおそれがある場合、規則第43条の3第1項第1号の例外として正しいものはどれか。,毒性・引火性などの危険があるガスでも無条件に開放する,一定条件下で漏えい・他物質浸透を防ぐ構造のガス抜き口を設けた容器を使用できる,容器に大きな穴を開ける,密封の代わりに内容物を全量捨てる,B,同号ただし書は、発生ガスに毒性・引火性等の危険性がある場合を除き、危険物の漏えいと他物質の浸透を防ぐ構造のガス抜き口を設けた容器を使用できるとしている。,O4-LAW-3,2026-08-25,危険物の規制に関する規則 第43条の3第1項第1号ただし書,一定の内圧上昇時には安全条件を満たすガス抜き口付き容器を使用できる。,内圧が上がる場合は危険性に関係なく容器を完全開放する。,match gas-pressure condition -> apply restricted vent exception,W4 B13; distinct exception boundary.,
O4-B13-LAW-C007,AI_PRE_ACCEPT,otsu4_law,法令,O4-LAW-KT-TRANSPORT,compatible container material,規則第43条の3第1項第2号が運搬容器の材質について求めるものはどれか。,最も安価な材質,最も重い材質,危険物と反応しやすい材質,危険物と危険な反応を起こさないなど性質に適応した材質,D,規則第43条の3第1項第2号は、収納する危険物と危険な反応を起こさないなど、その性質に適応した材質の運搬容器へ収納することを求めている。,O4-LAW-3,2026-08-25,危険物の規制に関する規則 第43条の3第1項第2号,運搬容器の材質は収納危険物と危険な反応を起こさないなど性質に適応させる。,材質は危険物との反応性を考慮しなくてよい。,identify compatibility requirement -> reject reactive material,W4 B13; chemical-compatibility transport rule.,
O4-B13-LAW-C008,AI_PRE_ACCEPT,otsu4_law,法令,O4-LAW-KT-TRANSPORT,solid fill ratio,規則第43条の3第1項第3号の原則では、固体危険物の収納率は運搬容器の内容積の何％以下か。,90%,95%,98%,100%,B,規則第43条の3第1項第3号は、告示で定める例外を除き、固体の危険物を内容積の95％以下の収納率で収納することを求めている。,O4-LAW-3,2026-08-25,危険物の規制に関する規則 第43条の3第1項第3号,固体危険物の収納率は原則95％以下である。,固体危険物は容器内容積の100％まで詰めるのが原則である。,read numeric fill ceiling -> select 95 percent,W4 B13; numeric Rule boundary absent from canonical 205.,
O4-B13-LAW-C009,AI_PRE_ACCEPT,otsu4_law,法令,O4-LAW-KT-TRANSPORT,liquid fill ratio,規則第43条の3第1項第4号の原則では、液体危険物の収納率は運搬容器の内容積の何％以下か。,90%,95%,98%,100%,C,規則第43条の3第1項第4号は、告示で定める例外を除き、液体の危険物を内容積の98％以下の収納率で収納することを求めている。,O4-LAW-3,2026-08-25,危険物の規制に関する規則 第43条の3第1項第4号,液体危険物の収納率は原則98％以下である。,液体危険物は100％満量にするのが原則である。,read numeric fill ceiling -> select 98 percent,W4 B13; distinct from solid 95 percent.,
O4-B13-LAW-C010,AI_PRE_ACCEPT,otsu4_law,法令,O4-LAW-KT-TRANSPORT,liquid ullage 55C,液体危険物の収納について、規則第43条の3第1項第4号が98％以下に加えて求める条件はどれか。,0℃で容器が凍ること,容器を常に横倒しにすること,55℃の温度において漏れないよう十分な空間容積を有すること,収納後に容器を加熱すること,C,同号は、液体危険物について98％以下の収納率で、かつ55℃で漏れないよう十分な空間容積を有することを求めている。,O4-LAW-3,2026-08-25,危険物の規制に関する規則 第43条の3第1項第4号,液体危険物は55℃で漏れないよう十分な空間容積を確保する。,98％以下なら温度による膨張余地は考慮しなくてよい。,combine fill ratio with thermal expansion requirement -> choose 55C ullage,W4 B13; thermal boundary distinct from C009 numeric recall.,
