candidate_id,state,unit_id,domain,knowledge_target_id,family,question,choice1,choice2,choice3,choice4,proposed_correct,explanation,source_id,source_version,source_locator,answer_defining_proposition,tested_misconception,reasoning_path,collision_note,permanent_question_id
O4-B12-FIR-C001,READY_FOR_ID,otsu4_fire,性質・消火,O4-FIR-KT-EXTINGUISHING,gasoline suitable agents,ガソリン火災に対して、厚生労働省モデルSDSが消火剤として挙げる組合せはどれか。,粉末消火剤・二酸化炭素・一般の泡消火剤,棒状注水だけ,高圧蒸気だけ,空気だけ,A,ガソリンのモデルSDS Section 5は、消火剤として粉末消火剤、二酸化炭素、一般の泡消火剤を挙げている。,O4-MHLW-SDS-GASOLINE,2006-05-13,Section 5「火災時の措置」消火剤,ガソリン火災には粉末、二酸化炭素、一般の泡消火剤が適切な消火剤として挙げられている。,ガソリン火災は棒状注水だけで消火する。,read gasoline SDS Section 5 -> identify listed suitable agents,"W3 B12; material-specific agent set, distinct from existing ethyl-acetate question.",
O4-B12-FIR-C002,READY_FOR_ID,otsu4_fire,性質・消火,O4-FIR-KT-EXTINGUISHING,gasoline prohibited agent,ガソリンのモデルSDSで「使ってはならない消火剤」とされるものはどれか。,粉末消火剤,棒状注水,二酸化炭素,一般の泡消火剤,B,ガソリンのモデルSDS Section 5は、使ってはならない消火剤として棒状注水を挙げている。,O4-MHLW-SDS-GASOLINE,2006-05-13,Section 5「火災時の措置」使ってはならない消火剤,ガソリン火災では棒状注水は使ってはならない。,水ならどの放水形態でもガソリン火災に適する。,read prohibited-agent field -> distinguish jet water from listed agents,W3 B12; same general Class 4 misconception as Q000002 but different named material and source.,
O4-B12-FIR-C003,READY_FOR_ID,otsu4_fire,性質・消火,O4-FIR-KT-EXTINGUISHING,gasoline large fire fallback,ガソリン火災が大規模で、散水以外の消火剤では消火効果が得られない場合、SDSが示す対応はどれか。,容器を加熱する,棒状注水を最優先する,散水する,火災区域へ容器を集める,C,ガソリンSDSは、引火点が極めて低く、散水以外の消火剤で効果がない大きな火災の場合には散水するとしている。,O4-MHLW-SDS-GASOLINE,2006-05-13,Section 5「火災時の措置」特有の消火方法,散水以外の消火剤で効果がない大きなガソリン火災では散水を用いる。,棒状注水禁止は水を用いるすべての対応を禁止する意味である。,distinguish prohibited jet water from large-fire spray/water use,W3 B12; decision boundary between prohibited jet and cooling/spray use.,
O4-B12-FIR-C004,READY_FOR_ID,otsu4_fire,性質・消火,O4-FIR-KT-EXTINGUISHING,gasoline movable container,ガソリン火災時の容器について、SDSが示す対応として正しいものはどれか。,必ず火災中心へ移す,容器を開放する,容器を振って圧力を下げる,危険でなければ火災区域から容器を移動する,D,ガソリンSDS Section 5は、危険でなければ火災区域から容器を移動するとしている。,O4-MHLW-SDS-GASOLINE,2006-05-13,Section 5「火災時の措置」特有の消火方法,危険がなければガソリン容器を火災区域から移動する。,火災時は安全性にかかわらず容器を火点へ近づける。,evaluate safe-movement condition -> move container only when not dangerous,W3 B12; container-management proposition distinct from agent selection.,
O4-B12-FIR-C005,READY_FOR_ID,otsu4_fire,性質・消火,O4-FIR-KT-EXTINGUISHING,gasoline immovable cooling,ガソリン火災で容器を移動できない場合のSDS上の対応はどれか。,容器と周囲に散水して冷却する,容器を加熱し続ける,注入口を開ける,容器を転倒させる,A,ガソリンSDSは、容器を移動できない場合には容器及び周囲に散水して冷却するよう示している。,O4-MHLW-SDS-GASOLINE,2006-05-13,Section 5「火災時の措置」特有の消火方法,移動できないガソリン容器と周囲は散水して冷却する。,棒状注水禁止なので容器冷却にも一切水を使えない。,container immovable -> distinguish cooling spray from extinguishing jet,W3 B12; cooling-use distinction adds operational value.,
O4-B12-FIR-C006,READY_FOR_ID,otsu4_fire,性質・消火,O4-FIR-KT-EXTINGUISHING,gasoline post-fire cooling,ガソリン火災を消火した後の容器について、モデルSDSが求めるものはどれか。,直ちに加熱する,大量の水で十分に冷却を続ける,容器を密閉空間へ運ぶ,冷却は不要,B,ガソリンSDS Section 5は、消火後も大量の水を用いて十分に容器を冷却するよう示している。,O4-MHLW-SDS-GASOLINE,2006-05-13,Section 5「火災時の措置」特有の消火方法,ガソリン火災の消火後も容器を十分に水冷する。,炎が消えれば容器冷却は直ちに不要となる。,post-extinguishment phase -> continue container cooling,W3 B12; post-fire action not represented in existing canonical.,
O4-B12-FIR-C007,READY_FOR_ID,otsu4_fire,性質・消火,O4-FIR-KT-EXTINGUISHING,kerosene small fire agents,灯油の小火災に対し、モデルSDSが消火剤として挙げるものはどれか。,棒状注水だけ,酸素だけ,二酸化炭素・粉末消火剤・散水・耐アルコール性泡消火剤,可燃性ガスだけ,C,灯油SDS Section 5は、小火災の消火剤として二酸化炭素、粉末消火剤、散水、耐アルコール性泡消火剤を挙げている。,O4-MHLW-SDS-KEROSENE,2019-03-15,Section 5「火災時の措置」消火剤・小火災,灯油の小火災には二酸化炭素、粉末、散水、耐アルコール性泡が挙げられている。,灯油の小火災は棒状注水だけが適切である。,read small-fire field -> identify listed agent set,W3 B12; size-specific extinguishing proposition.,
O4-B12-FIR-C008,READY_FOR_ID,otsu4_fire,性質・消火,O4-FIR-KT-EXTINGUISHING,kerosene large fire agents,灯油の大火災に対してモデルSDSが挙げる消火剤の組合せはどれか。,二酸化炭素だけ,乾燥砂だけ,棒状注水だけ,散水・噴霧水・耐アルコール性泡消火剤,D,灯油SDS Section 5は、大火災の消火剤として散水、噴霧水、耐アルコール性泡消火剤を挙げている。,O4-MHLW-SDS-KEROSENE,2019-03-15,Section 5「火災時の措置」消火剤・大火災,灯油の大火災には散水、噴霧水、耐アルコール性泡消火剤が挙げられている。,灯油では火災規模にかかわらず消火剤の区分は同じである。,distinguish small versus large fire agent lists,"W3 B12; paired boundary with C007, but different decision by fire size.",
O4-B12-FIR-C009,READY_FOR_ID,otsu4_fire,性質・消火,O4-FIR-KT-EXTINGUISHING,acetone spray spread caution,アセトン火災で、散水によって逆に火災が広がるおそれがある場合のSDS上の対応はどれか。,散水以外の適切な消火剤を用いる,必ず棒状注水へ切り替える,容器を加熱する,換気を停止する,A,アセトンSDSは、散水で火災が広がるおそれがある場合、示された消火剤のうち散水以外の適切な消火剤を利用するよう示している。,O4-MHLW-SDS-ACETONE,2015-03-31,Section 5「火災時の措置」特有の消火方法,散水が火災を広げるおそれがあるアセトン火災では散水以外の適切な消火剤を選ぶ。,散水は状況に関係なく常に最優先である。,identify spread-risk condition -> switch away from spray water,W3 B12; conditional extinguisher-choice proposition.,
O4-B12-FIR-C010,READY_FOR_ID,otsu4_fire,性質・消火,O4-FIR-KT-EXTINGUISHING,acetone upwind firefighting,アセトン火災の消火活動について、モデルSDSが示す位置取りはどれか。,風下からのみ行う,風上から消火する,密閉空間の最奥から行う,風向は考慮しない,B,アセトンSDS Section 5は、消火を行う際に風上から消火するとしている。,O4-MHLW-SDS-ACETONE,2015-03-31,Section 5「火災時の措置」消火を行う者の保護,アセトン火災では風上から消火する。,消火位置は風向と無関係である。,read firefighter protection instruction -> choose upwind position,W3 B12; firefighter-position proposition distinct from agent selection.,
O4-B12-FIR-C011,READY_FOR_ID,otsu4_fire,性質・消火,O4-FIR-KT-EXTINGUISHING,ethanol dry sand suitability,エタノール火災に対して、モデルSDSが消火剤として明示しているものはどれか。,可燃性粉じん,圧縮空気,乾燥砂類,酸素,C,エタノールSDS Section 5は、水噴霧、対アルコール性泡、粉末、炭酸ガスに加えて乾燥砂類を消火剤として挙げている。,O4-MHLW-SDS-ETHANOL,2014-03-31,Section 5「火災時の措置」消火剤,エタノール火災では乾燥砂類も消火剤として挙げられている。,乾燥砂類はエタノール火災には使用できない。,read ethanol agent list -> identify distinctive dry-sand option,W3 B12; distinct material-specific agent recognition.,
O4-B12-FIR-C012,READY_FOR_ID,otsu4_fire,性質・消火,O4-FIR-KT-EXTINGUISHING,ethanol heated container movement,エタノール火災で容器が熱にさらされている場合、モデルSDSが示す対応はどれか。,必ず移動する,容器を開放する,容器を振る,移動させない,D,エタノールSDS Section 5は、容器が熱に晒されているときは移さないとしている。,O4-MHLW-SDS-ETHANOL,2014-03-31,Section 5「火災時の措置」特有の消火方法,熱にさらされているエタノール容器は移動させない。,火災時の容器は加熱状態でも必ず移動する。,evaluate heated-container condition -> prohibit movement,W3 B12; condition-specific contrast with gasoline safe-move rule.,
O4-B12-FIR-C013,READY_FOR_ID,otsu4_fire,性質・消火,O4-FIR-KT-EXTINGUISHING,ethanol ignition source removal,エタノール火災で、安全に対処できる場合にモデルSDSが示す措置はどれか。,着火源を除去する,着火源を追加する,換気を必ず停止する,容器を加熱する,A,エタノールSDS Section 5は、安全に対処できるならば着火源を除去することを示している。,O4-MHLW-SDS-ETHANOL,2014-03-31,Section 5「火災時の措置」特有の消火方法,安全に対処できる場合は着火源を除去する。,火災時は着火源を残すほど安全である。,conditional safety check -> remove ignition source,W3 B12; response-priority proposition.,
O4-B12-FIR-C014,READY_FOR_ID,otsu4_fire,性質・消火,O4-FIR-KT-EXTINGUISHING,methanol reignition risk,メタノール火災について、モデルSDSが示す消火後の注意として正しいものはどれか。,消火後は再発火しないと保証される,消火後に再び発火するおそれがある,消火後は必ず自然冷却だけでよい,再発火は酸素が多いほど不可能になる,B,メタノールSDS Section 5は、消火後再び発火するおそれがあると示している。,O4-MHLW-SDS-METHANOL,2010-03-31,Section 5「火災時の措置」特有の危険有害性,メタノール火災は消火後に再発火するおそれがある。,一度消火すれば再発火の警戒は不要である。,read post-extinguishment hazard -> maintain reignition awareness,W3 B12; post-extinguishment risk proposition.,
