candidate_id,state,unit_id,domain,knowledge_target_id,family,question,choice1,choice2,choice3,choice4,choice5,proposed_correct,explanation,source_id,source_version,source_locator,answer_defining_proposition,tested_misconception,reasoning_path,collision_note,permanent_question_id
E1-B108-LG-C001,INTEGRATED,eisei1_law_general,関係法令（非有害業務）,E1-LG-003,lsl_return_property,労働者が退職し、権利者から請求があった場合に、使用者が返還すべき金品について労働基準法に適合する期限はどれか。,3日以内,7日以内,14日以内,30日以内,次の賃金支払日,B,A：誤り。法定期限は3日以内ではない。B：正しい。労働者が退職した場合（死亡した場合を含む。）に権利者から請求があったとき、使用者は7日以内に労働者の権利に属する金品を返還する。C：誤り。14日以内ではない。D：誤り。30日以内ではない。E：誤り。次の賃金支払日まで待つ規定ではない。,E1-LAW-LSL,current-as-of-2026-08-26,労働基準法第23条第1項,労働者が退職し権利者から請求があった場合、使用者は7日以内に労働者の権利に属する金品を返還する。,返還期限を賃金支払日等と混同する。,退職時の金品返還について、法定の適用場面と期限を同時に満たす選択肢を選ぶ。,既存の退職証明書問題とは別の第23条命題である.,EISEI1-Q-000381
E1-B108-LG-C002,INTEGRATED,eisei1_law_general,関係法令（非有害業務）,E1-LG-003,lsl_emergency_payment,労働者が出産や疾病等の非常の場合の費用に充てるため請求したときの賃金支払について適合するものはどれか。,請求を拒む,既往の労働に対する賃金を支払う,翌月まで支払わない,年1回だけ支払う,退職時だけ支払う,B,A：誤り。法定の非常の場合に労働者から請求されたときは拒めない。B：正しい。出産、疾病、災害その他厚生労働省令で定める非常の場合の費用に充てるため請求があったときは、支払期日前でも既往の労働に対する賃金を支払う。C：誤り。翌月まで一律に延ばせない。D：誤り。年1回だけの制度ではない。E：誤り。退職時だけに限られない。,E1-LAW-LSL,current-as-of-2026-08-26,労働基準法第25条,非常の場合には既往の労働に対する賃金を支払う。,非常時も通常の賃金支払日まで待てると混同する。,非常の場合の規定を確認する -> 既往賃金を選ぶ,既存の通常の賃金支払原則とは別命題である.,EISEI1-Q-000382
E1-B108-LG-C003,INTEGRATED,eisei1_law_general,関係法令（非有害業務）,E1-LG-003,lsl_shutdown_allowance,使用者の責に帰すべき事由による休業の場合に支払う休業手当の法定最低割合はどれか。,平均賃金の30%以上,平均賃金の60%以上,平均賃金の80%以上,平均賃金の100%以上,支払不要,B,A：誤り。平均賃金の30%以上では法定最低割合に達しない。B：正しい。使用者は休業期間中、労働者に平均賃金の60%以上の手当を支払わなければならない。C：誤り。80%以上を支払うことは妨げられないが、法定最低割合は80%ではない。D：誤り。100%以上を支払うことは妨げられないが、法定最低割合は100%ではない。E：誤り。支払義務がある。,E1-LAW-LSL,current-as-of-2026-08-26,労働基準法第26条,使用者の責に帰すべき事由による休業の休業手当は、平均賃金の60%以上である。,実際により高率を支払えることと法定最低割合を混同する。,労働基準法が定める休業手当の最低割合を選ぶ。,既存の賃金支払方法問題とは別命題である.,EISEI1-Q-000383
E1-B108-LG-C004,INTEGRATED,eisei1_law_general,関係法令（非有害業務）,E1-LG-003,lsl_night_premium,午後10時から午前5時までの深夜業に対する法定の最低割増率はどれか。,10%以上,25%以上,35%以上,50%以上,75%以上,B,A：誤り。10%以上では法定最低率に達しない。B：正しい。深夜業には通常の労働時間の賃金の25%以上の割増賃金を支払う。C：誤り。35%以上を支払うことは妨げられないが、深夜業単独の法定最低率ではない。D：誤り。50%以上は深夜業単独の法定最低率ではない。E：誤り。75%以上は深夜業単独の法定最低率ではない。,E1-LAW-LSL,current-as-of-2026-08-26,労働基準法第37条第4項,午後10時から午前5時までの深夜業の法定最低割増率は25%以上である。,深夜業単独の最低割増率と時間外・休日労働との重複割増又は任意の上乗せを混同する。,深夜業単独について労働基準法が定める最低割増率を選ぶ。,既存の時間外労働の割増率とは別命題である.,EISEI1-Q-000384
E1-B108-LG-C005,INTEGRATED,eisei1_law_general,関係法令（非有害業務）,E1-LG-003,lsl_leave_prescription,年次有給休暇の請求権の時効について労働基準法に適合するものはどれか。,1年,2年,3年,5年,時効はない,B,A：誤り。年次有給休暇の請求権の消滅時効は1年ではない。B：正しい。年次有給休暇の請求権は、行使できる時から2年間行わないと時効により消滅する。C：誤り。賃金請求権の経過措置上の期間と混同している。D：誤り。賃金請求権の原則的な消滅時効期間と混同している。E：誤り。消滅時効がある。,E1-LAW-LSL,current-as-of-2026-08-26,労働基準法第115条,年次有給休暇の請求権は2年で時効消滅する。,年次有給休暇の付与日数と時効を混同する。,請求権の時効規定を確認する -> 2年を選ぶ,既存の初回付与要件とは別命題である.,EISEI1-Q-000385
E1-B108-LG-C006,INTEGRATED,eisei1_law_general,関係法令（非有害業務）,E1-LG-003,lsl_dismissal_restriction,業務上負傷し療養のために休業する期間及びその後の解雇制限について適合するものはどれか。,療養開始後7日間だけ,療養開始後14日間だけ,療養開始後30日間だけ,療養期間だけ,療養期間及びその後30日間,E,A：誤り。療養開始後7日間だけではない。B：誤り。14日間だけではない。C：誤り。30日間だけではない。D：誤り。療養期間の終了と同時に解雇制限が終わるわけではない。E：正しい。業務上負傷し又は疾病にかかり療養のため休業する期間及びその後30日間は、原則として解雇してはならない。,E1-LAW-LSL,current-as-of-2026-08-26,労働基準法第19条第1項,業務上負傷又は疾病の療養休業期間及びその後30日間は解雇を制限する。,療養期間後の30日を見落とす。,解雇制限期間を確認する -> 療養期間とその後30日を選ぶ,既存の解雇予告問題とは別命題である.,EISEI1-Q-000386
E1-B108-HG-C001,INTEGRATED,eisei1_hygiene_general,労働衛生（非有害業務）,E1-HG-001,three_hygiene_managements,職場における労働衛生対策の三管理として適合する組合せはどれか。,人事管理・作業管理・販売管理,営業管理・品質管理・健康管理,設備管理・販売管理・健康管理,作業環境管理・財務管理・健康管理,作業環境管理・作業管理・健康管理,E,A：誤り。人事管理・作業管理・販売管理の組合せではない。B：誤り。営業管理及び品質管理は三管理に含まれない。C：誤り。設備管理及び販売管理は三管理に含まれない。D：誤り。財務管理は三管理に含まれない。E：正しい。三管理は作業環境管理、作業管理及び健康管理である。,E1-MHLW-THREE-MANAGEMENT,current-as-retrieved-2026-08-28,職場のあんぜんサイト 労働衛生の3管理（定義）,労働衛生対策の三管理は作業環境管理・作業管理・健康管理である。,三管理に事業運営管理を混入させる。,三管理を確認する -> 三つの衛生管理を選ぶ,既存の作業管理単独問題とは別命題である.,EISEI1-Q-000377
E1-B108-HG-C002,INTEGRATED,eisei1_hygiene_general,労働衛生（非有害業務）,E1-HG-001,environment_management,労働衛生の作業環境管理に該当する取組として適合するものはどれか。,健康相談を行う,保健指導を行う,作業手順を定める,作業時間を管理する,作業環境を測定し必要な改善を行う,E,A：誤り。健康相談は健康管理に含まれる。B：誤り。保健指導は健康管理に含まれる。C：誤り。作業手順の設定は作業管理に含まれる。D：誤り。作業時間の管理は作業管理に含まれる。E：正しい。作業環境中の有害因子の状態を測定で把握し、良好な状態へ改善・管理することは作業環境管理である。,E1-MHLW-THREE-MANAGEMENT,current-as-retrieved-2026-08-28,職場のあんぜんサイト 労働衛生の3管理（作業環境管理）,作業環境管理では作業環境測定と改善を行う。,三管理の担当範囲を混同する。,取組の対象を確認する -> 環境測定と改善を選ぶ,既存の照度問題とは別の三管理分類問題である.,EISEI1-Q-000378
E1-B108-HG-C003,INTEGRATED,eisei1_hygiene_general,労働衛生（非有害業務）,E1-HG-001,display_viewing_distance,情報機器作業におけるディスプレイと眼の視距離としてガイドラインが示す目安はどれか。,おおむね10cm以上,おおむね20cm以上,おおむね30cm以上,距離を設けず眼を画面へ接触させる,おおむね40cm以上,E,A：誤り。おおむね10cm以上ではない。B：誤り。おおむね20cm以上ではない。C：誤り。おおむね30cm以上ではない。D：誤り。眼を画面へ接触させるものではない。E：正しい。ディスプレイは、おおむね40cm以上の視距離を確保できるようにする。,E1-MHLW-INFO-EQUIPMENT,current-as-retrieved-2026-08-28,情報機器作業ガイドライン5(2)ロ(イ),情報機器作業ではディスプレイと眼の視距離をおおむね40cm以上確保する。,ディスプレイは眼に近いほど見やすく負担が少ないと誤認する。,ガイドラインが示す視距離の具体的目安を選ぶ。,既存の作業管理一般問題とは異なり、ディスプレイの視距離を正答命題とする。,EISEI1-Q-000379
E1-B108-HG-C004,INTEGRATED,eisei1_hygiene_general,労働衛生（非有害業務）,E1-HG-001,health_management,労働衛生の健康管理に該当する取組として適合するものはどれか。,作業場の照度を測定する,局所排気装置を設置する,作業手順を改善する,作業時間を短縮する,健康診断及びその結果に基づく措置を行う,E,A：誤り。作業場の照度測定は作業環境管理に含まれる。B：誤り。局所排気装置による有害因子の低減は作業環境管理に含まれる。C：誤り。作業手順の改善は作業管理に含まれる。D：誤り。作業時間の短縮は作業管理に含まれる。E：正しい。健康診断で労働者の健康状態を確認し、その結果に基づき医学的・労務管理的措置を行うことは健康管理である。,E1-MHLW-THREE-MANAGEMENT,current-as-retrieved-2026-08-28,職場のあんぜんサイト 労働衛生の3管理（健康管理）,健康管理では健康診断及びその結果に基づく措置を行う。,健康管理と環境・作業管理を混同する。,取組の対象を確認する -> 健康診断と結果措置を選ぶ,既存の健康診断法令問題とは三管理分類が異なる.,EISEI1-Q-000380
