candidate_id,state,unit_id,domain,knowledge_target_id,family,question,choice1,choice2,choice3,choice4,choice5,proposed_correct,explanation,source_id,source_version,source_locator,answer_defining_proposition,tested_misconception,reasoning_path,collision_note,permanent_question_id
E1-B109-HG-C001,RELEASED,eisei1_hygiene_general,労働衛生（非有害業務）,E1-HG-002,mental_policy,職場のメンタルヘルス対策で事業者が行うこととして適合するものはどれか。,心の健康づくり計画を策定し実施する,私的な相談を禁止する,不調者を一律に配置転換する,健康相談を廃止する,教育を行わない,A,A：正しい。事業者は衛生委員会等で十分に調査審議し、事業場の実態に即した心の健康づくり計画を策定・実施する。B：誤り。労働者が自発的に相談しやすい環境の整備が求められる。C：誤り。指針は不調者の一律配置転換を求めておらず、個別の状況と専門的な意見を踏まえた配慮が必要である。D：誤り。相談体制の整備が求められる。E：誤り。教育研修と情報提供は重要な取組である。,E1-MHLW-MENTAL-HEALTH-GUIDELINE,平成18年指針公示第3号-平成27年11月30日改正-current-as-retrieved-2026-08-28,労働者の心の健康の保持増進のための指針 2・4,事業者は心の健康づくり計画を策定し実施する。,事業者の取組を禁止事項と混同する。,計画的取組を選ぶ,既存の4つのケア問題とは別命題である.,EISEI1-Q-000387
E1-B109-HG-C002,RELEASED,eisei1_hygiene_general,労働衛生（非有害業務）,E1-HG-002,mental_privacy,メンタルヘルスに関する労働者の健康情報の取扱いとして適合するものはどれか。,誰でも閲覧できるようにする,本人の同意なく広く公表する,評価資料として公開する,保存しない,個人情報の保護に配慮する,E,A：誤り。健康情報を誰でも閲覧できる状態にすることは個人情報保護への配慮に反する。B：誤り。本人の意思を尊重し、個人情報保護に配慮する必要がある。C：誤り。健康情報を一般の評価資料として公開することは個人情報保護への配慮に反する。D：誤り。必要な情報管理を一律に放棄することではない。E：正しい。メンタルヘルスケアでは、健康情報を含む労働者の個人情報の保護と労働者の意思の尊重に留意する。,E1-MHLW-MENTAL-HEALTH-GUIDELINE,平成18年指針公示第3号-平成27年11月30日改正-current-as-retrieved-2026-08-28,労働者の心の健康の保持増進のための指針 2②・4⑤,健康情報は個人情報保護に配慮して取り扱う。,健康情報を一般情報と混同する。,取扱原則を選ぶ,既存の相談窓口問題とは別命題である.,EISEI1-Q-000388
E1-B109-PH-C001,RELEASED,eisei1_physiology,労働生理,E1-PH-001,kidney_location,腎臓の位置としてNIDDK資料に適合するものはどれか。,胸骨の直後で心臓の左右,肋骨のすぐ下で脊柱の左右,骨盤腔の中央で膀胱の直下,横隔膜より上で肺の左右,胃の内腔で小腸の左右,B,A：誤り。腎臓は心臓の左右にはない。B：正しい。腎臓は肋骨のすぐ下にあり、脊柱の左右に1個ずつ位置する。C：誤り。膀胱の直下ではない。D：誤り。肺の左右ではない。E：誤り。消化管の内腔にはない。,E1-NIDDK-KIDNEYS,current-as-retrieved-2026-08-28,NIDDK Your Kidneys & How They Work 冒頭（腎臓の位置）,腎臓は肋骨のすぐ下にあり、脊柱の左右に1個ずつ位置する。,腎臓の位置を胸腔、骨盤腔又は消化管内と混同する。,腎臓の解剖学的位置を選ぶ。,既存400問に腎臓の位置を正答命題とする問題はない。,EISEI1-Q-000389
E1-B109-PH-C002,RELEASED,eisei1_physiology,労働生理,E1-PH-001,urinary_tract_components,NIDDK資料が尿路の一部として列挙する組合せはどれか。,腎臓・肝臓・胆のう,肺・気管・気管支,腎臓・尿管・膀胱,胃・小腸・大腸,心臓・動脈・静脈,C,A：誤り。肝臓と胆のうは消化器系の器官である。B：誤り。呼吸器系の組合せである。C：正しい。NIDDK資料は腎臓、尿管及び膀胱を尿路の一部として示す。D：誤り。消化管の器官である。E：誤り。循環器系の組合せである。,E1-NIDDK-KIDNEYS,current-as-retrieved-2026-08-28,NIDDK Your Kidneys & How They Work 冒頭（urinary tract）,腎臓、尿管及び膀胱は尿路の一部である。,尿路を消化器系、呼吸器系又は循環器系と混同する。,尿の生成・輸送・貯留に関わる器官の組合せを選ぶ。,既存の尿管単独問題とは異なり、尿路の構成を正答命題とする。,EISEI1-Q-000390
E1-B109-PH-C003,RELEASED,eisei1_physiology,労働生理,E1-PH-001,kidney_nephron_count,NIDDK資料が示す腎臓1個当たりのネフロンのおおよその数はどれか。,約10個,約100万個,"約1,000個",約1億個,1個,B,"A：誤り。約10個ではない。B：正しい。腎臓1個は約100万個のネフロンから構成される。C：誤り。約1,000個ではない。D：誤り。約1億個ではない。E：誤り。ネフロンは1個だけではない。",E1-NIDDK-KIDNEYS,current-as-retrieved-2026-08-28,"NIDDK Your Kidneys & How They Work, How do my kidneys work?",腎臓1個は約100万個のネフロンから構成される。,ネフロンを腎臓1個に1つだけある構造又は少数の構造と誤認する。,腎臓のろ過単位の概数を選ぶ。,既存のネフロン構成問題とは異なり、ネフロンの概数を正答命題とする。,EISEI1-Q-000391
E1-B109-PH-C004,RELEASED,eisei1_physiology,労働生理,E1-PH-001,epiglottis_swallowing,嚥下時の喉頭蓋の働きとしてNIDDK資料に適合するものはどれか。,胃の入口を閉じて胃液の分泌を止める,気管を覆って食物が気道へ入るのを防ぐ,胆管を開いて胆汁を胃へ送る,小腸の蠕動を停止させる,鼻腔を閉じて肺胞のガス交換を止める,B,A：誤り。喉頭蓋は胃液分泌を止める構造ではない。B：正しい。嚥下時には喉頭蓋が気管を覆い、食物が気道へ入って窒息するのを防ぐ。C：誤り。胆汁を胃へ送る働きではない。D：誤り。小腸の蠕動を止める働きではない。E：誤り。肺胞のガス交換を止める働きではない。,E1-NIDDK-DIGESTIVE,current-as-retrieved-2026-08-28,"NIDDK Your Digestive System & How It Works, How does food move through my GI tract? Mouth",嚥下時には喉頭蓋が気管を覆い、食物が気道へ入るのを防ぐ。,喉頭蓋を消化液分泌又は腸管運動を制御する構造と混同する。,嚥下時に気道を保護する喉頭蓋の働きを選ぶ。,既存400問に喉頭蓋による気道保護を正答命題とする問題はない。,EISEI1-Q-000392
E1-B109-PH-C005,RELEASED,eisei1_physiology,労働生理,E1-PH-001,tubular_reabsorption,尿細管に沿う血管で行われる再吸収としてNIDDK資料に適合するものはどれか。,ろ過された水はすべて尿として排出される,血球のほぼすべてが尿細管から再吸収される,尿細管と血管の間では物質移動が起こらない,必要な栄養素はすべて尿へ排出される,水のほぼすべてと必要なミネラル・栄養素が血液へ戻る,E,A：誤り。ろ過された水の大部分は血液へ戻る。B：誤り。血球は通常、糸球体で血管内に残る。C：誤り。尿細管に沿う血管との間で再吸収が行われる。D：誤り。必要な栄養素は血液へ戻される。E：正しい。尿細管に沿う血管は水のほぼすべてと、体に必要なミネラル・栄養素を再吸収する。,E1-NIDDK-KIDNEYS,current-as-retrieved-2026-08-28,"NIDDK Your Kidneys & How They Work, The tubule returns needed substances to your blood and removes wastes",尿細管に沿う血管は水のほぼすべてと必要なミネラル・栄養素を血液へ戻す。,糸球体でろ過された水分・栄養素がすべて尿になると誤認する。,尿細管での再吸収に適合する記述を選ぶ。,既存のネフロン構成・糸球体ろ過問題とは異なり、尿細管での再吸収を問う。,EISEI1-Q-000393
E1-B109-PH-C006,RELEASED,eisei1_physiology,労働生理,E1-PH-001,kidney_erythropoietin,腎臓でつくられ、骨髄を刺激して赤血球をつくらせる物質としてNCI資料に適合するものはどれか。,インスリン,アドレナリン,エリスロポエチン,メラトニン,甲状腺ホルモン,C,A：誤り。インスリンは主に膵臓でつくられ、血糖調節に関わる。B：誤り。アドレナリンではない。C：正しい。エリスロポエチンは腎臓で自然につくられ、骨髄を刺激して赤血球をつくらせる。D：誤り。メラトニンではない。E：誤り。甲状腺ホルモンではない。,E1-NCI-ERYTHROPOIETIN,current-as-retrieved-2026-08-28,"NCI Dictionary of Cancer Terms, erythropoietin definition",エリスロポエチンは腎臓でつくられ、骨髄を刺激して赤血球をつくらせる。,腎臓の内分泌機能を他器官のホルモンと混同する。,腎臓由来で赤血球産生を刺激する物質を選ぶ。,既存の赤血球機能・造血部位問題とは異なり、腎臓由来の造血刺激物質を問う。,EISEI1-Q-000394
E1-B109-PH-C007,RELEASED,eisei1_physiology,労働生理,E1-PH-001,kidney_vitd,ビタミンDを活性化する2段階の水酸化のうち、第2段階が主に行われる器官としてNIH資料に適合するものはどれか。,皮膚,肝臓,腎臓,小腸,骨髄,C,A：誤り。皮膚では紫外線によりビタミンD合成が始まるが、第2水酸化の主な部位ではない。B：誤り。肝臓では第1水酸化が行われる。C：正しい。第2水酸化は主に腎臓で行われ、活性型のカルシトリオールが形成される。D：誤り。小腸は第2水酸化の主な部位ではない。E：誤り。骨髄ではない。,E1-NIH-ODS-VITAMIN-D,current-as-retrieved-2026-08-28,"NIH Office of Dietary Supplements, Vitamin D Fact Sheet for Health Professionals, Introduction",ビタミンD活性化の第2水酸化は主に腎臓で行われる。,ビタミンDの合成、肝臓での第1水酸化及び腎臓での第2水酸化を混同する。,ビタミンD活性化の第2段階が主に行われる器官を選ぶ。,既存400問にビタミンDの第2水酸化部位を正答命題とする問題はない。,EISEI1-Q-000395
E1-B109-PH-C008,RELEASED,eisei1_physiology,労働生理,E1-PH-001,kidney_location,通常の腎臓の数としてNIDDK資料に適合するものはどれか。,1個,5個,3個,4個,2個,E,A：誤り。通常は1個ではない。B：誤り。5個ではない。C：誤り。3個ではない。D：誤り。4個ではない。E：正しい。通常、腎臓は左右に1個ずつ、計2個ある。,E1-NIDDK-KIDNEYS,current-as-retrieved-2026-08-28,NIDDK Your Kidneys & How They Work 冒頭（two kidneys）,通常、腎臓は左右に1個ずつ、計2個ある。,腎臓の通常の個数を単腎又は多臓器の数と混同する。,腎臓の通常の個数を選ぶ。,既存の腎臓問題と別の構造命題である.,EISEI1-Q-000396
