candidate_id,state,unit_id,domain,knowledge_target_id,family,question,choice1,choice2,choice3,choice4,proposed_correct,explanation,source_id,source_version,source_locator,answer_defining_proposition,tested_misconception,reasoning_path,collision_note,permanent_question_id
B19-RULE-C001,INTEGRATED,drone_rules,Rules,B19-RULE-KT01,registration-mark-size-threshold,最大離陸重量がちょうど25kgの無人航空機に登録記号を表示する。登録記号の文字の高さとして、教則に最も合うものはどれか。,3mm以上,10mm以上,25mm以上,,C,教則では、登録記号の文字高は最大離陸重量25kg以上の機体で25mm以上、25kg未満の機体で3mm以上としている。25kgちょうどは「25kg以上」に含まれるため25mm以上が必要である。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第3章 3.1.2(1)4)「登録の手続き及び登録記号の表示」（教則表示ページ13 / PDF viewer 18）,登録記号の文字高は、最大離陸重量25kg以上で25mm以上、25kg未満で3mm以上であり、25kgちょうどは25mm以上となる。,25kgちょうどは25kg未満側として3mm以上でよい。,identify exact MTOW boundary -> apply >=25kg branch -> select 25mm minimum,Tier A。Q108は登録事項変更、Q220は登録後の安全性・表示維持を問う。登録記号の文字高というsource-defined重量境界は未出。,DRONE-Q-000372
B19-RULE-C002,INTEGRATED,drone_rules,Rules,B19-RULE-KT02,remote-id-pre-registration-exemption,無人航空機の登録制度施行前の事前登録期間中に登録手続きを完了した機体を飛行させる。リモートID機能の搭載義務について、教則に最も合うものはどれか。,事前登録期間中に登録手続きを行った機体は、リモートID搭載免除の対象となる,登録時期にかかわらず、すべての登録機体にリモートID搭載が必須である,事前登録による免除は、25kg以上の機体だけに適用される,,A,教則は、登録制度施行前の事前登録期間中に登録手続きを行った無人航空機を、リモートID機能の搭載が免除される場合の一つとして挙げている。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第3章 3.1.2(1)5)「リモートID機能の搭載の義務」①（教則表示ページ14 / PDF viewer 19）,登録制度施行前の事前登録期間中に登録手続きを行った無人航空機は、リモートID搭載免除の対象となる。,事前登録した機体でも現行登録機と同様に例外なくリモートID搭載が必要である。,identify registration timing -> match explicit exemption category -> determine Remote ID obligation,Tier A。Q047はリモートID特定区域の免除条件を問う。本問は別個の事前登録期間という明示的免除類型を問う。,DRONE-Q-000373
B19-RULE-C003,INTEGRATED,drone_rules,Rules,B19-RULE-KT03,remote-id-secret-duty-exemption,都道府県警察が、警備上特に秘匿を必要とする業務のため無人航空機を飛行させる。リモートID機能の搭載義務について、教則に最も合うものはどれか。,警備業務であってもリモートID搭載の免除はない,警察庁・都道府県警察・海上保安庁が警備その他の特に秘匿を必要とする業務のために行う飛行は、搭載免除の対象となる,秘匿業務の免除は国土交通省が自ら飛行させる場合だけに限られる,,B,教則は、警察庁、都道府県警察又は海上保安庁が警備その他の特に秘匿を必要とする業務のために行う飛行を、リモートID機能の搭載免除の一つとして明示している。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第3章 3.1.2(1)5)「リモートID機能の搭載の義務」④（教則表示ページ14 / PDF viewer 19）,警察庁、都道府県警察又は海上保安庁が警備その他の特に秘匿を必要とする業務のために行う飛行は、リモートID搭載免除の対象となる。,リモートIDの免除類型に、警察等の秘匿性を要する業務は含まれない。,identify operator authority + secret-duty purpose -> match explicit exemption -> determine Remote ID obligation,Tier A。Q047は特定区域免除を扱う。秘匿業務という別の明示的免除類型はanswer-defining propositionとして未出。,DRONE-Q-000374
B19-RULE-C004,INTEGRATED,drone_rules,Rules,B19-RULE-KT04,additional-airport-limitation-surfaces,東京・成田・中部・関西国際空港や政令空港で、進入表面・水平表面・転移表面に加えて設定される制限表面の組合せとして、教則に最も合うものはどれか。,円錐表面・延長進入表面・外側水平表面,進入表面・転移表面・水平表面,航空交通管制圏・航空交通情報圏・特別管制空域,,A,教則は、東京・成田・中部・関西国際空港及び政令空港では、全空港の基本3表面に加えて円錐表面、延長進入表面、外側水平表面を設定できるとしている。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第3章 3.1.1 6)b.「空港の制限表面の概要」イ（教則表示ページ12 / PDF viewer 17）,東京・成田・中部・関西国際空港及び政令空港では、基本3表面に加えて円錐表面・延長進入表面・外側水平表面を設定できる。,全空港で設定される進入・水平・転移の3表面だけが、これら主要空港でも唯一の制限表面である。,identify designated major/ordinance airport -> distinguish basic surfaces from additional surfaces -> select additional trio,Tier A。Q371は基本制限表面の種類・目的を問う。本問は特定空港で追加設定される3表面を問う。,DRONE-Q-000375
B19-RULE-C005,INTEGRATED,drone_rules,Rules,B19-RULE-KT05,model-aircraft-prohibited-airspace,重量90gの遠隔操作可能な模型航空機を、航空交通管制区内の特別管制空域で飛行させる計画である。教則に最も合うものはどれか。,100g未満なので、この空域での飛行禁止の対象にはならない,重量100g未満を含む模型航空機も、この空域では飛行禁止の対象となる,事前に国土交通省へ届け出れば、この禁止空域を自由に飛行できる,,B,教則は、重量100g未満を含む模型航空機についても、航空交通管制圏、航空交通情報圏、航空交通管制区内の特別管制空域等での飛行を禁止している。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第3章 3.1.1 7)「模型航空機に対する規制」①（教則表示ページ12-13 / PDF viewer 17-18）,重量100g未満を含む模型航空機も、航空交通管制圏・航空交通情報圏・航空交通管制区内の特別管制空域等では飛行禁止の対象となる。,100g未満の模型航空機には、航空交通管制圏等の航空機安全確保のための禁止空域規制が適用されない。,classify <100g aircraft as model aircraft -> identify special controlled airspace -> apply model-aircraft prohibition,Tier A。Q041は100g未満模型航空機の緊急用務空域、Q112は小型無人機等飛行禁止法上の重量を問う。本問は航空交通管制区内の特別管制空域等という別の禁止空域をanswer-definingにする。,DRONE-Q-000376
B19-RULE-C006,INTEGRATED,drone_rules,Rules,B19-RULE-KT06,model-aircraft-prior-notification,重量90gの模型航空機を、高度260mの空域で飛行させる。そこは模型航空機の飛行が禁止される航空交通管制圏等には該当しないものとする。教則に最も合う手続はどれか。,100g未満なので国土交通省への手続は不要である,高度250m以上の空域で模型航空機を飛行させるため、国土交通省への事前の届出が必要である,飛行後に飛行日誌へ記載すれば、事前の届出は不要である,,B,教則は、模型航空機の禁止空域以外でも、空港等周辺、航空路内の高度150m以上又は高度250m以上の空域で飛行させる場合、国土交通省への事前届出が必要としている。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第3章 3.1.1 7)「模型航空機に対する規制」②（教則表示ページ13 / PDF viewer 18）,禁止空域①以外でも、高度250m以上の空域で模型航空機を飛行させる場合は国土交通省への事前届出が必要となる。,100g未満の模型航空機なら、高度250m以上でも国土交通省への事前届出は不要である。,classify model aircraft -> confirm outside outright-prohibited airspace -> identify >=250m notification condition -> require prior notice,Tier A。Q041/Q112は模型航空機の別規制を扱うが、高度250m以上等での事前届出要件は未出。,DRONE-Q-000377
B19-RULE-C007,INTEGRATED,drone_rules,Rules,B19-RULE-KT07,unexpected-event-crowd-stop-action,必要な許可・承認を得て飛行中、予定経路の下で想定していなかった屋外イベントが始まり、多数の第三者が立ち入っていることを確認した。教則に最も合う対応はどれか。,許可・承認を得ているため、そのまま当初経路を飛行する,直ちに飛行を停止し、経路変更や安全な場所への着陸など必要な措置を講じる,イベント終了時刻だけ確認し、それまでは高度を上げて飛行を継続する,,B,教則は、許可・承認の有無にかかわらず、予定経路下で想定外の多数者集合が生じ第三者の立入り又はそのおそれを確認した場合、直ちに飛行を停止し、経路変更や安全な場所への着陸等の必要な措置を求めている。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第3章 3.1.2(2)2)d.「催し場所上空」（教則表示ページ16 / PDF viewer 21）,許可・承認の有無にかかわらず、予定経路下で想定外の多数者集合と第三者立入り等を確認した場合は直ちに飛行を停止し、経路変更又は安全な着陸等を行う。,催し場所上空の許可・承認があれば、飛行中に想定外の第三者集合が生じても当初経路を維持できる。,inflight unexpected crowd -> third-party entry/risk confirmed -> stop flight immediately -> reroute or land safely,Tier B。parent=event-crowd flight restriction。Q105は自然発生的な人混みが「催し」に当たるかを分類する。本問は飛行中に想定外の催し・第三者立入りを確認した後の停止・退避行動を問う。distinct axes=scenario_state_or_flight_phase + response_sequence_or_priority。,DRONE-Q-000378
B19-RULE-C008,INTEGRATED,drone_rules,Rules,B19-RULE-KT08,event-flight-five-ms-boundary,多数の者が集合する催し場所上空で飛行するための条件を整えている。現地の風速がちょうど5.0m/sとなった。教則に最も合う判断はどれか。,5.0m/sは5m/sを超えていないため、風速を理由に中止する必要はない,風速5m/s以上に該当するため、飛行を中止する,風速10m/s未満なら、催し場所上空でも風速による中止基準はない,,B,教則は、多数の者の集合する催し場所上空の飛行では、風速5m/s以上の場合は飛行を中止することが必要としている。5.0m/sちょうども「5m/s以上」に含まれる。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第3章 3.1.2(2)2)d.「催し場所上空」（教則表示ページ16-17 / PDF viewer 21-22）,多数の者の集合する催し場所上空では、風速5m/s以上の場合は飛行を中止し、5.0m/sちょうども中止側となる。,5m/sちょうどは「5m/s以上」の中止基準に含まれず、5m/sを超えた場合だけ中止する。,event-overflight context -> compare measured wind to inclusive 5m/s threshold -> stop at boundary,Tier A。Q105は催し該当性を問う。本問はsource-defined 5m/s inclusive boundaryをanswer-definingにする。計画時に併記された危害軽減構造要件は一問一命題原則のため本候補では問わない。,DRONE-Q-000379
B19-RULE-C009,INTEGRATED,drone_rules,Rules,B19-RULE-KT09,accident-third-party-property-any-damage,無人航空機が第三者所有の倉庫に接触し、ごく小さな損傷が生じた。修理費も少額である。航空法上の無人航空機の「事故」の扱いとして、教則に最も合うものはどれか。,損害額が少額なので事故には該当しない,第三者所有物の損壊は、損傷の規模や損害額を問わず事故の対象となる,人の負傷がない限り、物件損壊は事故には該当しない,,B,教則は、無人航空機による物件の損壊について第三者の所有物を対象とし、その損傷の規模や損害額を問わず全ての損傷を事故の対象としている。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第3章 3.1.2(3)1)f ア)「事故の場合の措置」a（教則表示ページ22 / PDF viewer 27）,第三者所有物の損壊は、損傷の規模や損害額を問わず無人航空機の事故の対象となる。,第三者所有物への軽微・少額の損傷は、航空法上の事故には含まれない。,identify third-party property damage -> ignore severity/amount threshold because none exists -> classify as accident,Tier B。parent=reportable UAS accident classification。Q052は事故発生後の措置、Q198は民事責任、Q214は通報先を問う。本問は物損の規模・損害額に下限がない分類境界を問う。distinct axes=decision_boundary_or_exception + tested_misconception。,DRONE-Q-000380
B19-RULE-C010,INTEGRATED,drone_rules,Rules,B19-RULE-KT10,aircraft-collision-accident-damage-condition,無人航空機が有人航空機と接触し、有人航空機には損傷がないが、無人航空機側に損傷が確認された。教則が示す「航空機との衝突又は接触」による事故の対象として最も適切なものはどれか。,有人航空機側に損傷がないため、事故の対象にはならない,航空機又は無人航空機のいずれか一方でも損傷が確認できるため、事故の対象となる,双方に損傷が確認された場合だけ事故の対象となる,,B,教則は、航空機との衝突又は接触について、航空機又は無人航空機のいずれか又は両方に損傷が確認できるものを事故の対象としている。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第3章 3.1.2(3)1)f ア)「事故の場合の措置」b（教則表示ページ22 / PDF viewer 27）,航空機との衝突又は接触は、航空機又は無人航空機のいずれか一方又は両方に損傷が確認できれば事故の対象となる。,航空機との接触事故は、有人航空機側と無人航空機側の双方が損傷した場合に限られる。,aircraft contact -> inspect both aircraft for damage -> one-or-both damaged -> classify as accident,Tier A。Q052は一般的事故措置、Q221は制御不能の重大インシデント。本問は航空機接触事故のdamage condition自体をanswer-definingにする。,DRONE-Q-000381
