candidate_id,state,unit_id,domain,knowledge_target_id,family,question,choice1,choice2,choice3,choice4,proposed_correct,explanation,source_id,source_version,source_locator,answer_defining_proposition,tested_misconception,reasoning_path,collision_note,permanent_question_id
O4-B2-LAW-C001,INTEGRATED,otsu4_law,法令,O4-LAW-KT-LICENSING-DUTIES,supervisor eligible license class,危険物保安監督者として選任できる者の免状区分として、消防法上正しいものはどれか。,甲種または乙種,乙種または丙種,甲種または丙種,甲種・乙種・丙種のいずれでもよい,A,消防法第13条第1項は、危険物保安監督者を甲種危険物取扱者または乙種危険物取扱者のうち所定の実務経験を有する者から定めるとしている。丙種はこの選任資格に含まれない。,O4-LAW-1,2026-08-25,消防法 第13条第1項,危険物保安監督者は、甲種又は乙種危険物取扱者のうち要件を満たす者から選任する。,丙種危険物取扱者も危険物保安監督者に選任できる。,supervisor role -> identify statutory license classes -> exclude Hei,Batch 2 Tier A; distinct from B1 specified-quantity questions and from C002's experience-duration boundary.,OTSU4-Q-000007
O4-B2-LAW-C002,INTEGRATED,otsu4_law,法令,O4-LAW-KT-LICENSING-DUTIES,supervisor experience threshold,乙種危険物取扱者を危険物保安監督者に選任する。消防法上、必要な危険物取扱いの実務経験として正しいものはどれか。,1か月以上,6か月以上,3か月以上,2年以上,B,消防法第13条第1項は、危険物保安監督者について甲種または乙種危険物取扱者で、6か月以上の危険物取扱い実務経験を有する者を要件としている。,O4-LAW-1,2026-08-25,消防法 第13条第1項,危険物保安監督者の選任には6か月以上の危険物取扱い実務経験が必要である。,乙種免状があれば実務経験期間を問わず選任できる。,license eligibility -> compare experience with six-month threshold -> determine eligibility,Batch 2 Tier B decision boundary; distinct from C001 license-class eligibility.,OTSU4-Q-000008
O4-B2-LAW-C003,INTEGRATED,otsu4_law,法令,O4-LAW-KT-LICENSING-DUTIES,supervision scope,乙種危険物取扱者が危険物保安監督者に選任された場合、その保安監督の対象として消防法上正しいものはどれか。,すべての類の危険物の取扱作業,丙種で取り扱える危険物だけ,自分が取り扱うことができる危険物の取扱作業,危険物以外の一般物品だけ,C,消防法第13条第1項は、危険物保安監督者に、その者が取り扱うことができる危険物の取扱作業について保安の監督をさせるとしている。,O4-LAW-1,2026-08-25,消防法 第13条第1項,危険物保安監督者の監督対象は、その者が取り扱うことができる危険物の取扱作業である。,監督者に選任されれば免状の取扱範囲を超えて全危険物を監督できる。,supervisor license scope -> handling scope -> supervision scope,Batch 2 Tier A; distinct from C001/C002 by testing supervision scope rather than qualification.,OTSU4-Q-000009
O4-B2-LAW-C004,INTEGRATED,otsu4_law,法令,O4-LAW-KT-LICENSING-DUTIES,appointment notification,危険物保安監督者を新たに選任した。消防法上、所有者等が行うべき対応はどれか。,次回の保安講習まで届出を保留する,免状更新時に都道府県知事へだけ届け出る,届出は不要である,遅滞なく市町村長等へ届け出る,D,消防法第13条第2項は、危険物保安監督者を定めたとき、所有者・管理者・占有者が遅滞なくその旨を市町村長等に届け出ることを求めている。,O4-LAW-1,2026-08-25,消防法 第13条第2項,危険物保安監督者を選任したときは、遅滞なく市町村長等へ届け出る。,危険物保安監督者の選任届は定期報告まで待てる。,appointment event -> notification duty -> without delay -> municipal authority,Batch 2 Tier A; appointment branch is distinct from C005 dismissal branch.,OTSU4-Q-000010
O4-B2-LAW-C005,INTEGRATED,otsu4_law,法令,O4-LAW-KT-LICENSING-DUTIES,dismissal notification,危険物保安監督者を解任した場合の届出について、消防法上正しいものはどれか。,選任時と同様に遅滞なく市町村長等へ届け出る,解任時は一切届出不要,1年以内に都道府県知事へ届け出ればよい,後任者が決まるまで届出できない,A,消防法第13条第2項は、危険物保安監督者を解任したときも、選任時と同様に遅滞なく市町村長等へ届け出るとしている。,O4-LAW-1,2026-08-25,消防法 第13条第2項,危険物保安監督者を解任したときも遅滞なく届け出る。,届出義務は選任時だけで、解任時にはない。,dismissal event -> same notification duty -> without delay,"Batch 2 source-defined paired branch with C004; tests dismissal-specific trigger, not wording-only recall.",OTSU4-Q-000011
O4-B2-LAW-C006,INTEGRATED,otsu4_law,法令,O4-LAW-KT-LICENSING-DUTIES,unlicensed handling attendance,製造所等で危険物取扱者免状を持たない者が危険物を取り扱う場合、消防法上必要な立会いとして正しいものはどれか。,丙種危険物取扱者の立会いだけでよい,甲種または乙種危険物取扱者の立会い,防火管理者の立会いだけでよい,誰の立会いも不要,B,消防法第13条第3項は、危険物取扱者以外の者が製造所等で危険物を取り扱う場合、甲種または乙種危険物取扱者の立会いを必要としている。,O4-LAW-1,2026-08-25,消防法 第13条第3項,無資格者が危険物を取り扱うには甲種又は乙種危険物取扱者の立会いが必要である。,丙種危険物取扱者の立会いでも無資格者の取扱いが認められる。,unlicensed handler -> identify authorized attendant classes -> Kou/Otsu,Batch 2 Tier A; distinct from supervisor-selection questions.,OTSU4-Q-000012
O4-B2-LAW-C007,INTEGRATED,otsu4_law,法令,O4-LAW-KT-LICENSING-DUTIES,license taxonomy,危険物取扱者免状の種類として、消防法上正しい組合せはどれか。,甲種・乙種のみ,乙種・丙種のみ,甲種・乙種・丙種,甲種・乙種・丙種・丁種,C,消防法第13条の2第1項は、危険物取扱者免状を甲種、乙種、丙種の3種類としている。,O4-LAW-1,2026-08-25,消防法 第13条の2第1項,危険物取扱者免状は甲種・乙種・丙種の3種類である。,危険物取扱者免状は甲種と乙種の2種類だけである。,license taxonomy -> enumerate statutory classes,Batch 2 Tier A; distinct from C016 exam-type taxonomy.,OTSU4-Q-000013
O4-B2-LAW-C008,INTEGRATED,otsu4_law,法令,O4-LAW-KT-LICENSING-DUTIES,license-dependent handling scope,危険物取扱者が取り扱える危険物の種類や、甲種・乙種が立ち会える危険物の種類は、消防法上何に応じて定められるか。,受験した都道府県,年齢,免状の交付年,免状の種類,D,消防法第13条の2第2項は、取り扱いまたは立会いができる危険物の種類を、危険物取扱者免状の種類に応じて総務省令で定めるとしている。,O4-LAW-1,2026-08-25,消防法 第13条の2第2項,取扱い・立会い可能な危険物の種類は免状の種類に応じて総務省令で定める。,免状を一つ持てば種類に関係なくすべての危険物を同じ範囲で扱える。,license type -> delegated scope rule -> permitted material range,Batch 2 Tier A; distinct from C003 supervision scope and C007 taxonomy.,OTSU4-Q-000014
O4-B2-LAW-C009,INTEGRATED,otsu4_law,法令,O4-LAW-KT-LICENSING-DUTIES,license issuing authority,危険物取扱者試験に合格した者へ危険物取扱者免状を交付する者として、消防法上正しいものはどれか。,都道府県知事,市町村長,消防署長,総務大臣のみ,A,消防法第13条の2第3項は、危険物取扱者試験に合格した者に対し、都道府県知事が危険物取扱者免状を交付すると定めている。,O4-LAW-1,2026-08-25,消防法 第13条の2第3項,危険物取扱者免状は試験合格者に対し都道府県知事が交付する。,危険物取扱者免状は市町村長が交付する。,exam pass -> identify issuing authority -> prefectural governor,Batch 2 Tier A; distinct authority question.,OTSU4-Q-000015
O4-B2-LAW-C010,INTEGRATED,otsu4_law,法令,O4-LAW-KT-LICENSING-DUTIES,post-return-order one-year boundary,危険物取扱者免状の返納を命じられた日から10か月しか経過していない者について、消防法上正しい説明はどれか。,必ず新しい免状を交付しなければならない,都道府県知事は免状を交付しないことができる,6か月を超えているため不交付事由にはなり得ない,返納命令歴は免状交付に一切関係しない,B,消防法第13条の2第4項第1号は、免状の返納を命じられ、その日から1年を経過しない者について、都道府県知事が免状を交付しないことができるとしている。10か月は1年未満である。,O4-LAW-1,2026-08-25,消防法 第13条の2第4項第1号,免状返納命令の日から1年を経過しない者には、都道府県知事が免状を交付しないことができる。,返納命令後6か月経過すればこの不交付事由から外れる。,return-order date -> elapsed 10 months -> compare with one-year boundary -> discretionary non-issuance applies,Batch 2 Tier B temporal boundary; distinct from C011 two-year conviction boundary.,OTSU4-Q-000016
